Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,1,959,A -1BR/1BA small,cmlfp5d,536
1,1,1159,A -1BR/1BA small,cmlfp5d,536
1,1,979,C- 1BR/1BA,cmlfp5d,660
1,1,1259,B -1BR/1BA washer / dryer hook ups,cmlfp5d,660
1,1,1059,B -1BR/1BA washer / dryer hook ups,cmlfp5d,660
1,2,1219,D - 2BR/1BA,cmlfp5d,857
1,2,1419,D - 2BR/1BA,cmlfp5d,857
1,1,1408,Riviera,e4fs7cn,740
1,1,1518,Chateaux,e4fs7cn,838
1,1,1528,Chateaux,e4fs7cn,838
1,1,1308,Burgundy,e4fs7cn,650
1,1,1333,Burgundy,e4fs7cn,650
1,1,1438,Burgundy,e4fs7cn,650
1,2,1483,Provence,e4fs7cn,912
1,2,1498,Provence,e4fs7cn,912
1,2,1593,Provence,e4fs7cn,912
2,2,1628,Normandy,e4fs7cn,"1,069"
2,2,1618,Normandy,e4fs7cn,"1,069"
2,2,1703,Normandy,e4fs7cn,"1,069"
2,2,1713,Brittany,e4fs7cn,"1,209"
2,2,1778,Brittany,e4fs7cn,"1,209"
2,2,1903,Brittany,e4fs7cn,"1,209"
2,3,2058,Touraine,e4fs7cn,"1,352"
2,3,1993,Touraine,e4fs7cn,"1,352"
2,3,2188,Touraine,e4fs7cn,"1,352"
1,1,2317,A,esem3bq,777
1,1,2550,A,esem3bq,777
1,1,2539,A,esem3bq,777
1,1,2603,A,esem3bq,777
1,1,2221,A,esem3bq,777
1,1,2556,A1,esem3bq,691
1,2,2768,B,esem3bq,"1,012"
1,2,3011,B,esem3bq,"1,012"
2,2,3054,C,esem3bq,"1,094"
2,2,3133,C,esem3bq,"1,094"
2,2,3357,C,esem3bq,"1,094"
2,2,3392,C,esem3bq,"1,094"
2,2,3253,E1,esem3bq,"1,297"
2,2,3304,D,esem3bq,"1,136"
2,2,3540,D,esem3bq,"1,136"
2,2,3616,D,esem3bq,"1,136"
2,2,3593,D,esem3bq,"1,136"
2,3,4396,E,esem3bq,"1,297"
1,1,2686,A1,m377rhl,806
1,1,2807,A1,m377rhl,806
1,1,3063,A1,m377rhl,806
1,1,2836,A1,m377rhl,806
1,1,2939,A1,m377rhl,806
1,1,1990,A1,m377rhl,806
1,1,2810,A2,m377rhl,893
1,1,2870,A2,m377rhl,893
1,1,2923,A2,m377rhl,893
1,1,2962,A3,m377rhl,907
1,1,2976,A3,m377rhl,907
1,1,3156,A3,m377rhl,907
1,1,2968,A3,m377rhl,907
1,1,3082,A3,m377rhl,907
1,1,3227,A3,m377rhl,907
1,1,2953,A3,m377rhl,907
2,2,3341,B1,m377rhl,"1,080"
2,2,3355,B1,m377rhl,"1,080"
2,2,3624,B3,m377rhl,"1,181"
2,2,3639,B3,m377rhl,"1,181"
2,2,3671,B3,m377rhl,"1,181"
2,2,3848,B3,m377rhl,"1,181"
2,2,3974,B3,m377rhl,"1,181"
2,2,3624,B2,m377rhl,"1,205"
2,2,3702,B2,m377rhl,"1,205"
2,2,3770,B2,m377rhl,"1,205"
2,2,3679,B2,m377rhl,"1,205"
2,3,3332,C1,m377rhl,"1,462"
2,3,3436,C1,m377rhl,"1,462"
2,3,3521,C1,m377rhl,"1,462"
1,1,1441,A1,g035h8w,824
1,1,1651,A1,g035h8w,824
1,1,1761,A1,g035h8w,824
1,1,1796,A1,g035h8w,824
1,1,1811,A1,g035h8w,824
1,1,1821,A1,g035h8w,824
1,1,1616,A1a,g035h8w,815
1,1,1631,A1a,g035h8w,815
1,1,1641,A1a,g035h8w,815
1,1,1751,A1a,g035h8w,815
1,1,1626,A1b,g035h8w,823
1,1,1641,A1b,g035h8w,823
1,1,1761,A1b,g035h8w,823
1,1,1776,A1b,g035h8w,823
1,1,1801,A1b,g035h8w,823
2,2,1829,B2,g035h8w,"1,029"
2,2,1923,B2,g035h8w,"1,029"
2,2,1948,B2,g035h8w,"1,029"
2,2,1983,B2,g035h8w,"1,029"
2,2,2058,B2,g035h8w,"1,029"
