Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,1,2805,A2,vlvglee,649
1,1,2825,A2,vlvglee,649
1,1,3065,A2,vlvglee,649
1,1,2605,A2,vlvglee,649
1,1,2510,A2,vlvglee,649
1,0,2855,Studio,vlvglee,768
1,1,2805,A1,vlvglee,606
1,1,2580,A1,vlvglee,606
1,1,2255,A1,vlvglee,606
1,1,2545,A1,vlvglee,606
1,1,2595,A1,vlvglee,606
1,1,2705,A1,vlvglee,606
1,1,2485,A1,vlvglee,606
1,1,2530,A1,vlvglee,606
1,1,2640,A1,vlvglee,606
1,1,2275,A1,vlvglee,606
1,1,3500,One Bedroom Penthouse II,vlvglee,649
1,1,3525,One Bedroom Penthouse II,vlvglee,649
1,1,3525,One Bedroom Penthouse III,vlvglee,660
1,1,2975,One Bedroom Penthouse,vlvglee,606
1,1,3210,One Bedroom Penthouse,vlvglee,606
1,1,2670,A3,vlvglee,660
1,1,2510,A3,vlvglee,660
1,1,2570,A3,vlvglee,660
1,1,2690,A3,vlvglee,660
2,2,4074,B2,vlvglee,"1,007"
2,2,4189,B2,vlvglee,"1,007"
2,2,4334,B2,vlvglee,"1,007"
2,2,4394,B2,vlvglee,"1,007"
2,2,4409,B2,vlvglee,"1,007"
2,2,4524,B2,vlvglee,"1,007"
2,2,4554,B2,vlvglee,"1,007"
2,2,4579,B2,vlvglee,"1,007"
2,2,4089,B2,vlvglee,"1,007"
2,2,4340,B1,vlvglee,963
2,2,4270,B1,vlvglee,963
1,1,2927,A,ss4bxl4,627
1,1,2800,A,ss4bxl4,627
1,1,3272,B,ss4bxl4,763
1,1,4363,J,ss4bxl4,927
1,1,4428,J,ss4bxl4,927
1,1,3410,J,ss4bxl4,927
1,1,3437,K,ss4bxl4,871
1,1,3726,K,ss4bxl4,871
1,1,3881,I,ss4bxl4,923
1,1,4081,I,ss4bxl4,923
1,1,2720,E,ss4bxl4,685
1,1,3007,C,ss4bxl4,745
1,1,3187,D,ss4bxl4,770
1,1,3182,D,ss4bxl4,770
1,1,3481,H,ss4bxl4,868
2,2,4951,M,ss4bxl4,"1,285"
2,2,5386,M,ss4bxl4,"1,285"
2,2,5016,L,ss4bxl4,"1,463"
2,2,5251,L,ss4bxl4,"1,463"
2.5,2,5232,F,ss4bxl4,"1,762"
2.5,2,5484,F,ss4bxl4,"1,762"
2.5,2,5553,F,ss4bxl4,"1,762"
2.5,2,5747,F,ss4bxl4,"1,762"
2.5,2,6048,F,ss4bxl4,"1,762"
2,2,6459,PH-B,ss4bxl4,"1,338"
2,2,6585,PH-B,ss4bxl4,"1,338"
2,2,7039,PH-B,ss4bxl4,"1,338"
2,2,7921,PH-A,ss4bxl4,"1,524"
2.5,2,8895,PH-F,ss4bxl4,"2,087"
2.5,2,6463,G,ss4bxl4,"1,898"
2.5,2,6313,G,ss4bxl4,"1,898"
3.5,3,15129,PH-E,ss4bxl4,"2,878"
3.5,3,17085,PH-E,ss4bxl4,"2,878"
3.5,3,17871,PH-E,ss4bxl4,"2,878"
3.5,3,19250,PH-E,ss4bxl4,"2,900"
4,3,23683,PH-D,ss4bxl4,"3,984"
4,3,24625,PH-D,ss4bxl4,"3,984"
4,3,24740,PH-D,ss4bxl4,"3,842"
4,3,24832,PH-D,ss4bxl4,"3,842"
4,3,27799,PH-D,ss4bxl4,"3,842"
1,0,1795,Studio,rfx7km0,427
1,0,1899,Studio,rfx7km0,460
1,0,1950,Studio,rfx7km0,460
1,0,2025,Studio,rfx7km0,427
1,0,2296,Studio,rfx7km0,460
1,0,2279,Studio,rfx7km0,427
1,0,1999,Studio,rfx7km0,427
1,0,2199,Studio,rfx7km0,427
1,0,2123,Studio,rfx7km0,427
1,0,2166,Studio,rfx7km0,460
1,0,2253,Studio,rfx7km0,427
1,1,2149,1 Bed / 1 Bath,rfx7km0,670
1,1,2195,1 Bed / 1 Bath,rfx7km0,670
1,1,2199,1 Bed / 1 Bath,rfx7km0,670
1,1,2297,1 Bed / 1 Bath,rfx7km0,670
1,1,2299,1 Bed / 1 Bath,rfx7km0,670
1,1,2399,1 Bed / 1 Bath,rfx7km0,670
1,1,2466,1 Bed / 1 Bath,rfx7km0,670
1,1,2499,1 Bed / 1 Bath,rfx7km0,670
1,1,2599,1 Bed / 1 Bath,rfx7km0,670
1,1,2525,1 Bed / 1 Bath,rfx7km0,670
1,1,2518,1 Bed / 1 Bath,rfx7km0,670
2,2,2799,2 Bed / 2 Bath,rfx7km0,960
2,2,2899,2 Bed / 2 Bath,rfx7km0,960
2,2,3599,2 Bed / 2 Bath,rfx7km0,960
2,2,3099,2 Bed / 2 Bath,rfx7km0,960
2,2,3522,2 Bed / 2 Bath,rfx7km0,960
2,2,3470,2 Bed / 2 Bath,rfx7km0,960
1,0,2867,S1,nn0qytn,507
1,1,3317,A4,nn0qytn,762
1,1,3862,A4,nn0qytn,762
1,1,3482,A4,nn0qytn,762
1,1,3357,A4,nn0qytn,762
1,1,3608,A1,nn0qytn,740
1,1,3653,A1,nn0qytn,740
1,1,3708,A1,nn0qytn,740
1,1,3753,A1,nn0qytn,740
1,1,3842,A1,nn0qytn,740
1,1,3863,A1,nn0qytn,740
1,1,4038,A1,nn0qytn,740
1,1,3478,A1,nn0qytn,740
