Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,0,3232,W27 - Studio (546 SF),ng6he6p,546
1,0,3299,W27 - Studio (527 SF),ng6he6p,527
1,1,4200,W27 - 1BR 1BA (765 SF),ng6he6p,765
1,1,4258,W27 - 1BR 1BA (765 SF),ng6he6p,765
1,1,4241,W27 - 1BR 1BA (765 SF),ng6he6p,765
2,2,4573,W27 - 2BR 2BA (894 SF),ng6he6p,894
1,0,1769,Model Studio,0yvh012,480
1,0,1653,Model Studio,0yvh012,450
1,1,2314,Model AD,0yvh012,"1,000"
1,1,2214,Model AD,0yvh012,"1,000"
1,1,2164,Model AD,0yvh012,"1,000"
1,1,2175,Model A,0yvh012,"1,000"
1,1,2320,Model i1,0yvh012,774
1,1,2220,Model i1,0yvh012,774
1,1,2345,Model i1,0yvh012,774
1.5,1,2342,Model AS,0yvh012,"1,000"
2,2,2714,Model i4,0yvh012,972
2,2,2729,Model i4,0yvh012,972
2,2,2749,Model i4,0yvh012,972
2,2,2597,Model i4,0yvh012,972
1,2,2649,Model C-1,0yvh012,"1,200"
2,2,2738,Model i2,0yvh012,995
2,2,2752,Model i2,0yvh012,"1,017"
2,2,2704,Model i2,0yvh012,995
2,2,2845,Model D,0yvh012,"1,451"
2,2,2849,Model D,0yvh012,"1,451"
2,2,2853,Model D,0yvh012,"1,451"
2,2,2921,Model i5,0yvh012,"1,008"
2,2,2911,Model i5,0yvh012,"1,008"
2,2,2828,Model i5,0yvh012,"1,008"
1,1,2084,Line 11,0s44613,600
1,1,2162,Line 19,0s44613,560
1,1,2283,Line 21a,0s44613,500
1,1,2110,Line 12,0s44613,575
2,2,2833,Line 01,0s44613,875
1,2,2820,Line 18,0s44613,800
1,1,2400,A4,f7krqjv,948
1,1,2470,A4,f7krqjv,948
1,1,2495,A4,f7krqjv,888
1,1,2540,A4,f7krqjv,888
1,1,2540,A4,f7krqjv,948
1,1,2435,A3,f7krqjv,835
1,1,2490,A3,f7krqjv,835
1,1,2480,A3,f7krqjv,835
1,1,2445,A2,f7krqjv,831
2,2,3110,B1,f7krqjv,"1,198"
2,2,3165,B1,f7krqjv,"1,198"
2,2,3165,B1,f7krqjv,"1,278"
2,2,3210,B1,f7krqjv,"1,198"
2,2,3230,B3,f7krqjv,"1,414"
2.5,2,3390,B4,f7krqjv,"1,426"
2.5,2,3530,B6,f7krqjv,"1,610"
2,2,3235,B2,f7krqjv,"1,357"
2,2,2729,Colada,zvwrhbz,842
2,2,2749,Aventura,zvwrhbz,849
1,1,1995,A-1,6kfrwps,673
1,1,1995,A-5A,6kfrwps,717
1,1,2355,A-1G,6kfrwps,673
1,1,2360,A-5G,6kfrwps,717
2,2,2655,B-1W,6kfrwps,916
2,2,2685,B-1,6kfrwps,916
2,2,2685,B-2,6kfrwps,908
2,2,2730,B-2,6kfrwps,908
2,2,2770,B-1S,6kfrwps,916
2,2,2810,B-1S,6kfrwps,916
2,2,2845,B-1S,6kfrwps,916
2,2,2770,B-1S2,6kfrwps,916
2,2,2810,B-1S2,6kfrwps,916
2,2,2850,B-1S2,6kfrwps,916
2,2,2810,B-1A,6kfrwps,939
2,2,2845,B-1A,6kfrwps,939
2,2,2925,B-3,6kfrwps,995
2,2,2930,B-3,6kfrwps,995
2,2,2995,B-3,6kfrwps,995
2,2,3010,B-3,6kfrwps,995
2,3,3595,C-1,6kfrwps,"1,230"
2,3,3685,C-1,6kfrwps,"1,230"
3,3,3665,C-6S,6kfrwps,"1,267"
2,3,3765,C-3,6kfrwps,"1,280"
2,2,5939,B6,g0hmfhx,"1,223"
2,2,5681,B5,g0hmfhx,"1,164"
2,2,5417,B10,g0hmfhx,"1,058"
2,2,5229,B10,g0hmfhx,"1,058"
2,3,8228,C1,g0hmfhx,"1,537"
2,3,8317,C1,g0hmfhx,"1,537"
1,0,2592,14 - Studio,wpc3j9h,450
1,0,2793,12 - Studio,wpc3j9h,539
