Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
305-315 E 86th St,"['One Month Free or OP', 'Indoor Swimming Pool', 'Laundry on Every Floor', 'Private Outdoor Space', 'Renovated', 'No Fee Rentals', 'Carnegie Hill School District 2', 'Lounge', 'Valet', 'Heat/hot Water Included', 'On-Site Dry Cleaner & Valet', 'Stainless Steel Appliances', 'Two Short Blocks to 4,5,6 Train', 'On-Site Dry Cleaner', 'On-Site Garage', 'Gym and Fitness Center', 'Indoor & Outdoor Seating Area', 'Outdoor Areas', 'Laundry Facilities', 'Maintenance on site', 'Doorman', 'Elevator', 'Lounge', 'Fitness Center', 'Pool', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Instant Hot Water', 'Hardwood Floors', 'Den']",Yorkville,https://www.apartments.com/yorkville-new-york-ny/,bzg2v49,Yorkshire Towers,https://www.apartments.com/yorkshire-towers-new-york-ny/bzg2v49/,4.8,verified,0
401 E 34th St,"['Deposit free with Rhino', 'Fireplace', 'Grey on grey finish package', 'Stainless steel appliances', 'White on white finish package', 'River view', 'Valet service', 'White on grey finish package', 'Corner location', 'Entertainment kitchen', 'Resident app', 'Terrace', 'Walnut on black finish package', 'Grey wood plank flooring', 'High ceilings', 'Walk-In Closets', 'Balcony', 'Build credit score with RentTrack', 'Closet built-ins', 'Deck', 'On-site retail', '6 finish packages', ""Children's playroom"", 'Granite countertops', 'Partition wall divider', 'Refrigerator', 'Sliding glass wall divider', 'Washer/Dryer', 'Credit card payments accepted', 'Espresso wood plank flooring', 'On-site ATM', 'Pet friendly', 'Walnut on grey finish package', 'Bicycle storage room', 'Bi-weekly payment program', 'Bookcase divider', 'Lifestyle services powered by Amenify', 'Moving services with Move Matcher', 'Outdoor Lounge', 'Oversized kitchen', 'Smart Home GiGstreem Internet', 'Stackable washer and dryer', 'White appliances', 'Package Service', 'Laundry Facilities', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', 'Furnished Units Available', 'On-Site ATM', 'On-Site Retail', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Fitness Center', 'Playground', 'High Speed Internet Access', 'Washer/Dryer', 'Fireplace', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Refrigerator', 'High Ceilings', 'Walk-In Closets', 'Deck']",Murray Hill,https://www.apartments.com/murray-hill-new-york-ny/,938hg25,View 34,https://www.apartments.com/view-34-new-york-ny/938hg25/,4.6,verified,0
155 E 31st St,"['Dishwasher', 'Lighted Tray Ceiling', 'Microwave', 'Outdoor Areas', 'Private Terrace', 'With Terrace', 'Full Marble Bathrooom', 'Health Club With Pool', 'Plank Floors', 'Stainless Steel Appliances', 'W/Terrace', 'Custom Lighting', 'Grey Quartz Counter Tops', 'Heat/hot Water Included', 'White Appliances', 'Bamboo Floors', 'Hardwood Floors', 'Open Kitchen', 'Stainless Steel Appliance', 'Black Granite Countertops', 'Custom Window Shades', 'Full Marble Bathrooms', 'Parquet Floors', 'Porcelain Tile in Bathroom', 'Private Outdoor Space', 'Black Granite Countertops/Floors in Kitchen', 'Complimentary Health Club Membership', 'Full Marble Bathroom', 'Granite Countertops', 'Marble Bathroom', 'Quartz Counter Tops', 'Valet On-Site', 'White Appliance', 'White Kitchen Appliances', 'Gray Quartz Countertops', 'Marble Bathrooms', 'Plank Flooring', 'Private Park', 'Quartz Countertops in Kitchen', 'White Pantry Cabinets', 'White Shaker Style Cabinets', 'Bike Storage', 'Gray Granite Countertops', 'Grey Granite Counter Tops', 'Laundry on Every Floor', 'Lounge And Sundeck', 'Quartz Countertops', 'Renovated', 'Tiled Bathroom', 'White Kitchen Cabinets', 'Wirebrushed Oak Driftwood Plank Wood Flooring', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', '24 Hour Access', 'Recycling', 'Dry Cleaning Service', 'Laundry Service', 'Online Services', 'Planned Social Activities', 'Elevator', 'Business Center', 'Lounge', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Sauna', 'Pool', 'Bicycle Storage', 'Sundeck', 'High Speed Internet Access', 'Air Conditioning', 'Heating', 'Cable Ready', 'Tub/Shower', 'Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Instant Hot Water', 'Hardwood Floors']",Kips Bay,https://www.apartments.com/kips-bay-new-york-ny/,q3856xz,Windsor Court,https://www.apartments.com/windsor-court-new-york-ny/q3856xz/,4.8,verified,0
212 E 125th St,"['Community Lounge', 'Laundry', 'Sundeck', 'Garage', 'Media Room', 'Bike Storage', 'Courtyard', 'Fitness Center', 'Package Service', 'Laundry Facilities', 'Maintenance on site', 'Property Manager on Site', 'Security System', 'Concierge', '24 Hour Access', 'Furnished Units Available', 'Public Transportation', 'Business Center', 'Lounge', 'Fitness Center', 'Sauna', 'Bicycle Storage', 'Sundeck', 'Courtyard', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Tub/Shower', 'Stainless Steel Appliances', 'Kitchen', 'Range', 'Refrigerator', 'Furnished']",East Harlem,https://www.apartments.com/east-harlem-new-york-ny/,3w6dcsd,Common at The Reserve,https://www.apartments.com/common-at-the-reserve-new-york-ny/3w6dcsd/,0,verified,0
20 W 64th St,"['Flex 3', 'Green Roof', 'Health Club With Pool', 'Stainless Steel Appliances', 'White Marble Bathroom', 'Wirebrushed Oak Driftwood Plank Wood Flooring', 'Full Marble Bathroom', 'Grey Marble Bathroom', 'Porcelain Tile in Bathroom', 'Stainless Steel Appliance', 'White Tile In Bathroom', 'Laundry on Every Floor', 'Plank Wood Flooring', 'Quartz Countertops', 'Renovated', 'Solar And Black Out Shades', 'White Marble Counter Tops', 'White Oak Floors', 'Granite Countertops/Floors in Kitchen', 'Hardwood Floors', 'Open Kitchen', 'Plank Flooring', 'White Pantry Cabinets', 'Bamboo Floorings', 'Black Granite Countertops', 'Calacatta Casa Quartz Kitchen Counter Tops & Backs', 'Duplex', 'Grey Marble Bathrooms', 'Hardwood Flooring', 'High Floor', 'Quartz Countertops In Kitchen', 'White Appliances', 'White Marble Bathrooms', 'Black Granite Countertops/floors In Kitchen', 'Full Marble Bathrooms', 'Granite Countertops', 'Led Automated Closet Lighting', 'Valet On-Site', 'Washer/dryer', 'White Appliance', 'White Tile Bathroom With Marble Vanity Top', 'Bike Storage', 'Dishwasher', 'Gray Granite Countertops', 'Laundry in Unit', 'Marble Bathooms', 'Microwave', 'Stainless Steel Applicances', 'White Kitchen Cabinets', 'Bamboo Floors', 'Bottochino Bathroom', 'Marble Bathroom', 'Marble Bathrooms', 'Updated Bathroom Finishes', 'Package Service', 'Laundry Facilities', 'Maintenance on site', 'Doorman', 'Concierge', 'Elevator', 'Lounge', 'Fitness Center', 'Sauna', 'Pool', 'Bicycle Storage', 'Roof Terrace', 'Sundeck', 'Courtyard', 'High Speed Internet Access', 'Washer/Dryer', 'Dishwasher', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Hardwood Floors', 'Dining Room']",Lincoln Square,https://www.apartments.com/lincoln-square-new-york-ny/,c5thyge,One Lincoln Plaza,https://www.apartments.com/one-lincoln-plaza-new-york-ny/c5thyge/,0,verified,0
784-792 Columbus Ave,"['Dog Run', 'Private Outdoor Space', 'Beautifully Landscaped sitting area', 'Modern finishes', 'Stainless Steel Appliances', 'Corner Unit', 'Open Kitchen', 'Storage Available', 'Washer Dryer In Unit', 'Renovated Bathroom', 'Separate Dressing Area', 'Time Warner/Verizon Fios Ready', 'Custom Black Out Shades', 'Custom Closets', 'Granite Kitchen Counters', 'Newly Renovated', 'Renovated', 'Terrace', 'Walk-In Closets', 'Windowed Kitchen', 'Ample Closet Space', 'Lobbies attended 24/7', 'Spacious layouts', 'Tiled shower', 'Laundry Facilities', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Renters Insurance Program', 'Pet Play Area', 'Elevator', 'Fitness Center', 'Playground', 'Courtyard', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Microwave', 'Hardwood Floors', 'Walk-In Closets']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,xswy1sq,792 Columbus Avenue,https://www.apartments.com/792-columbus-avenue-new-york-ny/xswy1sq/,4.9,verified,0
160 E 48th St,"['On-Site Management', 'Handicap Accessible', 'Garden', 'Additional Storage', 'Package Acceptance', 'Renovated', 'Bike Storage', 'Courtyard', 'Lounge', 'Community Wifi', 'Private Outdoor Space', 'Laundry Facilities', 'Maintenance on site', 'Property Manager on Site', 'Concierge', 'Planned Social Activities', 'Elevator', 'Lounge', 'Fitness Center', 'Bicycle Storage', 'Courtyard', 'Waterfront', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Granite Countertops', 'Microwave', 'Range', 'Hardwood Floors', 'Walk-In Closets', 'Large Bedrooms', 'Garden']",Midtown East,https://www.apartments.com/midtown-east-new-york-ny/,z49x5jx,The Buchanan,https://www.apartments.com/the-buchanan-new-york-ny/z49x5jx/,3.9,verified,0
155 E 29th St,"['Black Granite Countertops/floors In Kitchen', 'Grey Quartz Counter Tops', 'White Appliance', 'Gray Quartz Countertops', 'Plank Floors', 'Quartz Countertops In Kitchen', 'Granite Countertops', 'Parquet Floors', 'Plank Flooring', 'Stainless Steel Appliances', 'White Pantry Cabinets', 'Marble Bathrooms', 'Porcelain Tile In Bathroom', 'Renovated', 'Stainless Steel Appliance', 'Full Marble Bathroom', 'Marble Bathroom', 'White Shaker Style Cabinets', 'Flex 3', 'Health Club With Pool', 'Quartz Countertops', 'Wirebrushed Oak Driftwood Plank Wood Flooring', 'Black Granite Countertops', 'Full Marble Bathrooms', 'White Appliances', 'White Kitchen Cabinets', 'Laundry Facilities', 'Maintenance on site', 'Doorman', 'Concierge', 'Elevator', 'Fitness Center', 'Sauna', 'Pool', 'Sundeck', 'High Speed Internet Access', 'Air Conditioning', 'Smoke Free', 'Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Quartz Countertops', 'Hardwood Floors']",Kips Bay,https://www.apartments.com/kips-bay-new-york-ny/,h26j1b1,Biltmore Plaza,https://www.apartments.com/biltmore-plaza-new-york-ny/h26j1b1/,5.0,verified,0
525 W 49th St,"['Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', '24 Hour Access', 'Trash Pickup - Curbside', 'Elevator', 'Heating', 'Dishwasher', 'Granite Countertops', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors', 'High Ceilings', 'Crown Molding']",Hell's Kitchen,https://www.apartments.com/hells-kitchen-new-york-ny/,v745n5d,525 W 49th St,https://www.apartments.com/525-w-49th-st-new-york-ny/v745n5d/,0,verified,0
600 W 58th St,"['Smoke Free Building', 'Community Events And Outings', 'Outdoor Areas', 'Shuttle Service To Columbus Circle', 'Onsite Management', 'Resident Lounge', 'Bike Storage', 'Package Concierge', 'Walk In Shower', 'New Development', 'Roof Deck', 'Concierge', 'On-Site Retail', 'Elevator', 'Lounge', 'Fitness Center', 'Bicycle Storage', 'Roof Terrace', 'Washer/Dryer', 'Air Conditioning', 'Smoke Free', 'Tub/Shower', 'Dishwasher', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Deck']",Hell's Kitchen,https://www.apartments.com/hells-kitchen-new-york-ny/,yh2kx5r,FRANK 57 WEST,https://www.apartments.com/frank-57-west-new-york-ny/yh2kx5r/,0,verified,0
