Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,1,2012,1 Bedroom - 1 Bath A,4zvyhrh,750
1,1,2062,1 Bedroom - 1 Bath A,4zvyhrh,750
1,1,1554,1 Bedroom - 1 Bath A,4zvyhrh,750
1,2,2219,2 Bedroom - 1 Bath A,4zvyhrh,850
1,2,1639,2 Bedroom - 1 Bath A,4zvyhrh,850
2,2,2574,2 Bedroom - 2 Bath,4zvyhrh,"1,050"
2,2,2720,2 Bedroom - 2 Bath,4zvyhrh,"1,050"
1,2,1694,2 Bedroom - 1 Bath C,4zvyhrh,"1,000"
1,2,1834,2 Bedroom - 1 Bath C,4zvyhrh,"1,000"
1,2,1649,2 Bedroom - 1 Bath B,4zvyhrh,950
2,3,2811,3 Bedroom - 2 Bath,4zvyhrh,"1,300"
1,1,1695,A3r,td7s0n8,656
1,1,1610,A3,td7s0n8,656
1,1,1615,A3,td7s0n8,656
1,1,1615,A2,td7s0n8,656
2,2,2365,B1,td7s0n8,930
2,2,2390,B1,td7s0n8,930
2,2,2375,B2,td7s0n8,951
2,2,2390,B2,td7s0n8,951
2,2,2400,B2,td7s0n8,951
2,3,2450,C2,td7s0n8,"1,095"
2,3,2600,C1r,td7s0n8,"1,095"
1,0,2667,Studio (AS2),hjsnmt2,538
1,0,2687,Studio (AS2),hjsnmt2,538
1,0,2704,Studio (AS2),hjsnmt2,538
1,0,2747,Studio (AS2),hjsnmt2,538
1,0,2762,Studio (AS2),hjsnmt2,538
1,0,2707,Studio (AS6),hjsnmt2,562
1,0,2723,Studio (AS6),hjsnmt2,562
1,0,2737,Studio (AS6),hjsnmt2,562
1,0,2780,Studio (AS6),hjsnmt2,562
1,0,2700,Studio (AS7),hjsnmt2,564
1,0,2726,Studio (AS1),hjsnmt2,534
1,0,3079,Studio (AS8),hjsnmt2,571
1,1,3385,One Bedroom (A9),hjsnmt2,605
1,1,3829,One Bedroom (A9),hjsnmt2,605
1,1,2657,One Bedroom (A9),hjsnmt2,605
1,1,3789,One Bedroom (A7),hjsnmt2,589
1,1,2680,One Bedroom (A7),hjsnmt2,589
1,1,3489,One Bedroom (A7),hjsnmt2,589
1,1,4691,Large One Bedroom Townhome (AT2),hjsnmt2,935
1,1,3847,One Bedroom (A4),hjsnmt2,694
1,1,3063,One Bedroom (A4),hjsnmt2,694
1,2,3111,"Two Bedroom, One Bath (B1)",hjsnmt2,746
1,2,3356,"Two Bed, One Bath (B2)",hjsnmt2,763
1,2,3390,"Two Bed, One Bath (B2)",hjsnmt2,763
2,2,3955,"Two Bedroom, Two Bath (B4)",hjsnmt2,909
2,2,4222,"Two Bedroom, Two Bath (B4)",hjsnmt2,909
2,2,4278,"Two Bedroom, Two Bath (B4)",hjsnmt2,909
1,2,1899,Two Bedroom,pw6lsvs,824
1,3,2549,Three Bedroom,pw6lsvs,"1,138"
1,0,1460,Sellwood — Premium,5zvqzlm,446
1,0,1461,Sellwood,5zvqzlm,446
1,0,1531,Sellwood,5zvqzlm,446
1,1,1726,Hawthorne,5zvqzlm,597
1,1,1721,Hawthorne,5zvqzlm,597
1,1,1751,Steel — Premium,5zvqzlm,683
1,1,1799,Broadway,5zvqzlm,652
1,1,1816,Broadway,5zvqzlm,652
1,1,1675,Burnside,5zvqzlm,604
2,2,2630,St. John — Premium,5zvqzlm,932
2,2,2699,St. John — Premium,5zvqzlm,932
1,1,1759,1 Bedroom Classic A,qc198tx,614
1,1,1744,1 Bedroom Classic A,qc198tx,614
1,1,1855,1 Bedroom Classic F,qc198tx,695
1,1,2010,A4,6gsj2qr,650
2,2,3340,B8,6gsj2qr,"1,300"
1,0,1099,Studio,4p0psyl,279
1,0,1099,Studio,4p0psyl,350
1,0,1099,Studio,4p0psyl,374
1,0,1125,Studio,4p0psyl,360
1,0,1199,Studio,4p0psyl,279
1,0,1295,Studio,4p0psyl,308
1,0,1325,Studio,4p0psyl,350
1,0,1325,Studio,4p0psyl,359
1,0,1325,Studio,4p0psyl,345
1,0,1149,Studio,4p0psyl,308
1,0,1295,Studio,4p0psyl,323
1,2,1489,Two Bedroom,4p0psyl,761
1,2,1575,Two Bedroom,4p0psyl,696
1,2,1599,Two Bedroom,4p0psyl,761
1,2,1599,Two Bedroom,4p0psyl,746
1,2,1689,Two Bedroom,4p0psyl,711
1,2,1799,Two Bedroom,4p0psyl,761
1,1,1625,A1RE,nmdd0tn,648
1,1,1578,A3,nmdd0tn,648
1,1,1599,A1,nmdd0tn,648
1,1,1489,Taylor,9l74z07,666
1,1,1517,Taylor,9l74z07,661
1,1,1581,Taylor,9l74z07,666
1,1,1641,Taylor,9l74z07,660
1,1,1641,Taylor,9l74z07,666
1,1,1853,Taylor,9l74z07,708
1,1,1586,Taylor,9l74z07,689
1,1,1953,Taylor,9l74z07,669
1,1,1643,Taylor,9l74z07,666
1,1,1949,Bennett,9l74z07,775
1,1,1586,Bennett,9l74z07,790
1,1,2034,Monroe,9l74z07,788
1,1,2044,Monroe,9l74z07,793
1,1,1967,Monroe,9l74z07,911
1,1,1967,Monroe,9l74z07,794
1,1,2183,Harlow,9l74z07,"1,009"
2,2,3522,Garland,9l74z07,"1,194"
2,2,3633,Garland,9l74z07,"1,115"
2,2,2588,Garland,9l74z07,"1,197"
2,2,2478,Garland,9l74z07,"1,034"
2,2,2508,Garland,9l74z07,"1,033"
2,2,2565,Garland,9l74z07,943
2,2,2478,Hepburn,9l74z07,"1,125"
1,0,2076,SA,3rkwnse,499
1,0,2006,SA,3rkwnse,499
1,1,2864,1D,3rkwnse,773
1,1,2685,1D,3rkwnse,773
1,1,2831,1D,3rkwnse,825
1,1,3109,1J,3rkwnse,818
1,1,3170,1E,3rkwnse,758
1,1,3608,1E,3rkwnse,834
1,1,3872,1H,3rkwnse,791
1.5,1,5853,Penthouse 1 (PH1),3rkwnse,"1,147"
2.5,2,4702,2E,3rkwnse,"1,321"
2.5,2,4740,2E,3rkwnse,"1,355"
2.5,2,4768,2L,3rkwnse,"1,355"
2,2,6061,Penthouse 4 (PH4),3rkwnse,"1,309"
2,2,6064,Penthouse 4 (PH4),3rkwnse,"1,318"
2.5,2,6351,Penthouse 5 (PH5),3rkwnse,"1,364"
2.5,2,7477,Penthouse 7 (PH7),3rkwnse,"1,522"
2.5,2,7690,Penthouse 7 (PH7),3rkwnse,"1,526"
2.5,2,7887,Penthouse 6 (PH6),3rkwnse,"1,664"
2.5,2,8108,Penthouse 6 (PH6),3rkwnse,"1,664"
2.5,2,10113,Penthouse 2 (PH2),3rkwnse,"2,112"
2.5,2,4526,2B,3rkwnse,"1,295"
3.5,3,9670,Penthouse 9 (PH9),3rkwnse,"2,300"
3.5,3,9971,Penthouse 13 (PH13),3rkwnse,"2,314"
1,0,1600,Studio 1 2,n3hv1dp,511
1,1,1585,Urban One 3 4,n3hv1dp,564
1,1,1630,Urban One 3 4,n3hv1dp,582
1,1,1670,Urban One 3 4,n3hv1dp,564
1,1,2110,1 Bedroom 2 3,n3hv1dp,705
1,1,2450,1 Bedroom 2 3,n3hv1dp,702
2,2,3790,2 Bedroom 1L,n3hv1dp,"1,199"
2,2,5995,2 Bed Penthouse 3,n3hv1dp,"1,580"
1,1,1494,F2,71vdebx,690
1,1,1504,F2,71vdebx,639
1,1,1719,F2,71vdebx,615
1,1,1529,F5,71vdebx,630
1,1,1504,F5,71vdebx,630
1,1,2169,A1.1,71vdebx,744
1,1,2194,A1.1,71vdebx,744
1,1,1594,F1.1,71vdebx,790
1,1,1619,F1.1,71vdebx,790
1,1,1979,A9,71vdebx,693
1,1,1854,A1,71vdebx,616
2,2,2562,C2,71vdebx,972
2,2,2137,C7,71vdebx,772
2,3,4637,D1,71vdebx,"1,474"
1,0,1542,S1,0hc4953,466
1,0,1649,S1,0hc4953,466
1,0,1791,S6,0hc4953,541
1,0,1799,S4,0hc4953,564
1,0,1867,S4,0hc4953,564
1,1,2102,A16,0hc4953,720
1,1,2184,A6,0hc4953,748
1,1,2190,A1,0hc4953,750
1,1,2196,A10,0hc4953,752
1,1,2213,A13,0hc4953,758
1,1,2295,A5,0hc4953,786
1,1,2375,A14,0hc4953,712
1,1,2389,A7,0hc4953,818
1,1,2467,A17,0hc4953,845
1,1,2523,A8,0hc4953,864
1,1,2613,A4,0hc4953,895
1,1,2695,A2,0hc4953,923
1,1,2716,A11,0hc4953,930
1,1,2859,A12-2,0hc4953,979
1,1,2862,A12,0hc4953,980
1,1,3186,A15-2,0hc4953,"1,091"
1,1,3194,A15,0hc4953,"1,094"
2,2,2999,B12,0hc4953,936
2,2,3225,B3-2,0hc4953,"1,156"
2,2,3228,B3,0hc4953,"1,157"
2,2,3395,B4,0hc4953,"1,217"
2,2,4099,B4,0hc4953,"1,217"
2,2,3462,B9,0hc4953,"1,241"
2,2,3635,B5,0hc4953,"1,303"
2,2,4801,B5,0hc4953,"1,303"
2,2,3702,B2,0hc4953,"1,327"
2,2,3713,B2,0hc4953,"1,331"
2,2,3753,B7,0hc4953,"1,345"
2,2,3764,B8,0hc4953,"1,349"
2,2,3856,B10-2,0hc4953,"1,382"
2,2,3859,B10,0hc4953,"1,383"
2,2,3900,B1,0hc4953,"1,398"
2,2,4327,B11,0hc4953,"1,551"
2,2,4637,B6,0hc4953,"1,662"
1,0,2364,A4,4xh2llh,543
1,0,2369,A1,4xh2llh,465
1,0,2505,A1,4xh2llh,465
1,0,2764,A2,4xh2llh,535
1,1,3446,B6,4xh2llh,543
1,1,3572,B1,4xh2llh,624
1,1,3134,B1,4xh2llh,624
1,1,3021,C4,4xh2llh,603
2,2,3805,D1,4xh2llh,937
2,2,3867,D1,4xh2llh,937
2,2,3896,D2,4xh2llh,993
2,2,3909,D2,4xh2llh,993
2,2,3978,D2,4xh2llh,993
1,0,1331,The Pearl,3pvdmwd,388
1,0,1341,The Pearl,3pvdmwd,388
1,0,1356,The Pearl,3pvdmwd,388
1,0,1366,The Pearl,3pvdmwd,388
1,0,1406,The Pearl,3pvdmwd,388
1,0,1391,The Pearl,3pvdmwd,388
1,1,1624,The Belmont,3pvdmwd,568
1,1,1639,The Belmont,3pvdmwd,568
1,1,1649,The Belmont,3pvdmwd,568
1,1,1699,The Belmont,3pvdmwd,568
1,1,1659,The Laurelhurst,3pvdmwd,435
1,1,1695,The Burnside,3pvdmwd,580
1,2,2031,The Hawthorne,3pvdmwd,725
1,2,2106,The Hawthorne,3pvdmwd,725
1.5,2,2570,The Brooklyn,3pvdmwd,979
1,1,1968,A-1.1,6nnd2rr,689
1,1,1998,A-1.1,6nnd2rr,689
1,1,2013,A-1.1,6nnd2rr,689
1,1,2016,A-1.3,6nnd2rr,653
1,1,2074,A-10.0,6nnd2rr,678
1,1,2149,A-10.0,6nnd2rr,678
1,1,2101,A1.0,6nnd2rr,653
1,1,2131,A1.0,6nnd2rr,653
1,1,2381,A1.0,6nnd2rr,653
1,1,2082,A-19.0 ANSI-A,6nnd2rr,684
1,1,2125,A-10.3,6nnd2rr,670
1,1,2125,A-16.0,6nnd2rr,675
1,1,2146,A-14.0,6nnd2rr,672
1,1,2146,A-18.0,6nnd2rr,726
1,1,2196,A-18.0,6nnd2rr,726
1,1,2149,A-10.5,6nnd2rr,678
1,1,2157,A-1.4,6nnd2rr,723
1,1,2173,A-10.2,6nnd2rr,686
1,1,2212,A-11.2,6nnd2rr,711
1,1,2241,A-10.1,6nnd2rr,677
1,1,2316,A-10.1,6nnd2rr,677
1,1,2296,A-3.0,6nnd2rr,731
1,1,2316,A-3.0,6nnd2rr,731
1,1,2326,A-3.0,6nnd2rr,731
1,1,2313,A-15.0,6nnd2rr,740
1,1,2366,A-2.0,6nnd2rr,770
1,1,2501,A-2.0,6nnd2rr,770
1,1,2536,A-2.0,6nnd2rr,770
1,1,2387,A-1.5,6nnd2rr,716
1,1,2434,A-1.2,6nnd2rr,763
1,1,2449,A-1.2,6nnd2rr,763
1,1,2624,A-1.2,6nnd2rr,763
1,1,2456,A-12.0,6nnd2rr,736
1,1,2461,A-6.0 ANSI-A,6nnd2rr,770
1,1,2486,A-6.0 ANSI-A,6nnd2rr,770
1,1,2561,A-2.1,6nnd2rr,770
1,1,2566,A-2.1,6nnd2rr,770
1,1,2645,A-11.0,6nnd2rr,821
1,1,2704,A-4.0,6nnd2rr,836
1,1,2729,A-4.0,6nnd2rr,836
1,1,2743,A-17.0,6nnd2rr,820
1.5,1,4908,PH4.0,6nnd2rr,"1,073"
1.5,1,5048,PH4.0,6nnd2rr,"1,073"
1.5,1,5106,PH3.0,6nnd2rr,"1,119"
1.5,1,5246,PH3.0,6nnd2rr,"1,119"
2,2,3640,B-3.0,6nnd2rr,"1,041"
2,2,3645,B-3.0,6nnd2rr,"1,041"
2,2,3675,B-3.0,6nnd2rr,"1,041"
2,2,3936,B-11.0,6nnd2rr,"1,180"
2,2,4043,B-1.0,6nnd2rr,"1,155"
2,2,4058,B-1.0,6nnd2rr,"1,155"
2,2,4083,B-1.0,6nnd2rr,"1,155"
2,2,4072,B-12.0,6nnd2rr,"1,182"
2,2,4293,B-13.0,6nnd2rr,"1,210"
2,2,4412,B-2.0,6nnd2rr,"1,208"
2,2,4417,B-2.0,6nnd2rr,"1,208"
2.5,2,4414,TH-7.0,6nnd2rr,"1,273"
2,2,4453,B-4.0 ANSI A,6nnd2rr,"1,206"
2.5,2,4796,TH-1.1,6nnd2rr,"1,408"
2.5,2,5046,TH-1.1,6nnd2rr,"1,408"
2.5,2,4796,TH-1.0,6nnd2rr,"1,408"
2.5,2,4871,TH-1.0,6nnd2rr,"1,408"
2.5,2,5121,TH-1.0,6nnd2rr,"1,408"
2.5,2,4803,TH-1.2,6nnd2rr,"1,410"
2.5,2,5218,TH-5.0,6nnd2rr,"1,536"
2.5,2,5238,TH-6.0,6nnd2rr,"1,451"
2.5,2,5658,PH8.0,6nnd2rr,"1,741"
2.5,2,5977,TH-2.0,6nnd2rr,"1,769"
3,2,6438,B-10.1,6nnd2rr,"2,030"
2.5,2,6551,PH2.0,6nnd2rr,"1,786"
2.5,2,6691,PH2.0,6nnd2rr,"1,786"
2.5,2,6628,PH7.0,6nnd2rr,"1,741"
2.5,2,7114,TH-4.0,6nnd2rr,"2,025"
2.5,2,7560,PH6.0,6nnd2rr,"1,903"
2.5,2,8553,PH5.0,6nnd2rr,"2,158"
2.5,2,9863,PH1.0,6nnd2rr,"2,611"
2.5,2,10003,PH1.0,6nnd2rr,"2,611"
1,0,1350,Studio B,mzlcfvh,503
1,0,1400,Studio B,mzlcfvh,472
