PropertyId,Latitude,Longitude,ReviewScore,Neighborhood_Label,Leisure,Technology,Services,Location,Fitness & Wellness,Safety & Security,Apartment_features,Appliances,Baths,Beds,MaxRent,SquareFootage
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,1.0,959.0,536.0
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,1.0,1159.0,536.0
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,1.0,979.0,660.0
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,1.0,1259.0,660.0
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,1.0,1059.0,660.0
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,2.0,1219.0,857.0
cmlfp5d,30.346615,-97.6965924673913,3.6,44,6,4,0,5,0,1,3,1,1.0,2.0,1419.0,857.0
41etr4l,30.3317868,-97.72319263515101,0.0,13,8,7,0,5,1,3,7,1,1.0,0.0,1681.0,562.0
41etr4l,30.3317868,-97.72319263515101,0.0,13,8,7,0,5,1,3,7,1,1.0,1.0,1452.0,713.0
41etr4l,30.3317868,-97.72319263515101,0.0,13,8,7,0,5,1,3,7,1,1.0,1.0,1532.0,713.0
41etr4l,30.3317868,-97.72319263515101,0.0,13,8,7,0,5,1,3,7,1,1.0,1.0,1472.0,720.0
41etr4l,30.3317868,-97.72319263515101,0.0,13,8,7,0,5,1,3,7,1,1.0,1.0,1548.0,720.0
41etr4l,30.3317868,-97.72319263515101,0.0,13,8,7,0,5,1,3,7,1,1.0,1.0,1492.0,726.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,1.0,1348.0,650.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,1.0,1383.0,650.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,1.0,1408.0,838.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,1.0,1418.0,838.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,1.0,1298.0,740.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,2.0,1623.0,912.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,1.0,2.0,1663.0,912.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,2.0,2.0,1928.0,1209.0
e4fs7cn,30.177925,-97.853442,4.1,110,4,6,1,14,2,4,9,5,2.0,2.0,1863.0,1209.0
