PropertyId,Latitude,Longitude,ReviewScore,Neighborhood_Label,Leisure,Technology,Services,Location,Fitness & Wellness,Safety & Security,Apartment_features,Appliances,Baths,Beds,MaxRent,SquareFootage
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2760.0,654.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2705.0,654.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2735.0,654.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2675.0,654.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2665.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2670.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2680.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2695.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2705.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2715.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2780.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2820.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2865.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2720.0,719.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2705.0,692.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2750.0,692.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2795.0,692.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2730.0,747.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2755.0,747.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,3090.0,899.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,3155.0,899.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,1.0,1.0,2680.0,620.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3315.0,919.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3230.0,919.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3235.0,946.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3255.0,946.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3390.0,1002.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3480.0,1002.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3355.0,1002.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3400.0,1022.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3410.0,1022.0
4pt04hj,32.794604500000005,-117.10706684915199,4.4,30,4,8,2,14,1,1,7,3,2.0,2.0,3425.0,1022.0
