Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit,Neighborhood_Label,Baths,Beds,MaxRent,Model,SquareFootage,Latitude,Longitude
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,0.0,2094.0,The Polk,491,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,0.0,1739.0,The Turk,420,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2715.0,The Redwood,515,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2605.0,The Redwood,515,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2748.0,The Elm,524,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2648.0,The Elm,524,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2652.0,The Myrtle,526,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,3064.0,The Post,676,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2670.0,The Larkin,526,37.7617582,-122.438297
1066 Market St,"['on-site management', 'bicycle room', 'ev charging stations', 'on-site security', 'dedicated on-site parking', 'indoor & outdoor resident lounge', 'lobby lounge', 'now leasing, by appointment only', 'bbq', 'pet friendly', 'the oasis', 'dog jog', 'on-site composting', 'gourmet kitchen', 'pets welcome - call for details', 'resident wi-fi & social lounge', 'solarium', 'upper terrace', 'brand new luxury living!', 'high-speed internet & cable ready', 'package lockers', 'valet living', 'package service', 'maintenance on site', 'property manager on site', 'online services', 'composting', 'planned social activities', 'pet play area', 'public transportation', 'elevator', 'lounge', 'multi use room', 'corporate suites', 'fitness center', 'bicycle storage', 'roof terrace', 'sundeck', 'courtyard', 'grill', 'individual locking bedrooms', 'private bathroom', 'high speed internet access', 'wi-fi', 'washer/dryer', 'heating', 'cable ready', 'tub/shower', 'sprinkler system', 'dishwasher', 'disposal', 'ice maker', 'granite countertops', 'stainless steel appliances', 'eat-in kitchen', 'kitchen', 'microwave', 'oven', 'range', 'refrigerator', 'freezer', 'hardwood floors', 'vinyl flooring', 'dining room', 'views', 'linen closet', 'double pane windows', 'window coverings', 'large bedrooms', 'balcony', 'patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,1,0,13,1.0,1.0,2620.0,The Larkin,526,37.7617582,-122.438297
