Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
6555 Ambrosia Dr,"['Central air conditioning & heat', 'Courtyards with lush landscaping', 'Jogging trail', 'Air conditioning', 'Microwave', 'Storage Available', '24 Hour Gate Attendant', 'Spin Studio', '24hr. parcel locker', 'Gated entry', 'Refrigerator', 'Valet dry cleaning service', '24hr. emergency maintenance services', 'Balcony', 'Barbeque grills', 'Elevators', 'Guest parking available', 'iLounge business center', 'Movement studio', 'On-site Bar & Bistro', 'Reserved covered parking', 'Reserved garage parking', 'Sauna', 'Access to nearby shopping & dining', 'Centrally located', 'Clubhouse', 'Five resort-style pools, including three saltwater', 'On-site Market', 'Pet friendly', 'Poolside cabanas', 'Spa', 'Electric car chargers', 'Quartz Countertop', 'Dog park', 'Occasions room', 'State-of-the-art fitness center', 'Ultra-high-speed internet', 'Clubhouse', 'Sauna', 'Spa', 'High Speed Internet Access', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Cable Ready', 'Tub/Shower', 'Fireplace', 'Dishwasher', 'Disposal', 'Microwave', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Dining Room', 'Walk-In Closets', 'Window Coverings']",Grantville,https://www.apartments.com/grantville-san-diego-ca/,4pt04hj,The Village Mission Valley,https://www.apartments.com/the-village-mission-valley-san-diego-ca/4pt04hj/,5.0,verified,0
330 13th St,"['Resident Business Center', 'Media & Conference Room', 'Clubroom', 'Open Gourmet Kitchens', 'Bicycle Storage', 'Expansive Double & Triple-Paned Windows', 'Incredible Bay Views*', 'Outdoor Yoga Area', '9-Feet or Higher Ceilings', 'Deluxe Stainless Steel Appliances', 'Dog Run Area', 'Fully Equipped 24-Hour Fitness Center', 'Lavish Bathrooms with Undermount Sinks', 'Wood Plank Flooring', 'In-Unit Washer & Dryer', 'Luxurious Two-Story Sky Lounge', 'Outdoor Fireplaces', 'Polish Quartz Countertops', 'Resident Controlled Heating & Air Conditioning', 'Smoke-Free Building', '97 Walk Score', 'Community-Wide WiFi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Renters Insurance Program', 'Composting', 'Planned Social Activities', 'Pet Care', 'Pet Washing Station', 'EV Charging', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Hot Tub', 'Spa', 'Pool', 'Bicycle Storage', 'Cabana', 'Courtyard', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Double Vanities', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Island Kitchen', 'Kitchen', 'Oven', 'Refrigerator', 'Freezer', 'Vinyl Flooring', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Large Bedrooms', 'Balcony', 'Patio']",East Village,https://www.apartments.com/east-village-san-diego-ca/,d0mqjxh,K1 Apartments,https://www.apartments.com/k1-apartments-san-diego-ca/d0mqjxh/,4.9,verified,0
424 15th St,"['Level 43', 'Soft closing drawer slides', 'Level 33', 'Level 37', 'Level 41', 'Level 5', 'Level 9', 'Spa', 'Brand new onsite park', 'Level 11', 'Level 21', 'Level 36', 'Refreshing lap pool', 'Smoke-free community', 'With patio/balcony', 'Level 13', 'Level 17', 'Level 23', 'Level 27', 'Level 32', 'Level 42', 'Level 10', 'Level 20', 'Level 8', 'Underground gated parking', 'Level 12', 'Level 16', 'Level 22', 'Level 26', 'Level 31', 'Level 45', 'Level 7', 'Excellent access', 'Level 14', 'Level 18', 'Level 24', 'Level 28', 'Level 3', 'Level 35', 'Level 39', 'Level 15', 'Level 19', 'Level 25', 'Level 29', 'Level 30', 'Level 34', 'Level 38', 'Level 4', 'Level 40', 'Level 44', 'Level 6', 'Resident lounge and business center', 'Package Service', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', '24 Hour Access', 'On-Site Retail', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Fitness Center', 'Spa', 'Pool', 'Gated', 'Cabana', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Vinyl Flooring', 'Views', 'Walk-In Closets', 'Balcony', 'Patio']",East Village,https://www.apartments.com/east-village-san-diego-ca/,9r6e3y6,Pinnacle on The Park,https://www.apartments.com/pinnacle-on-the-park-san-diego-ca/9r6e3y6/,4.5,verified,0
4360 Twain Ave,"['High-end interior finishes', 'Club Room with Designer Lighting', 'Quartz kitchen countertops', 'Stainless-steel kitchen appliances', 'Sunrise Terrace', 'Balcony', 'Coworking Meeting Tables', 'EV Charging Stations', 'Onsite Mail Room and Parcel Lockers', 'Hard-surface flooring', 'Live/Work units, one and two-bedroom floorplans', 'Skydeck with TV and Fireplace', 'Spacious closets', 'Versatile layouts', 'Onsite Fitness Center with Smart Fitness Mirror', 'Resort-like courtyard with outdoor pool*', 'Sunset Terrace', 'Package Service', 'Community-Wide WiFi', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Pool', 'Playground', 'Media Center/Movie Theatre', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Dog Park', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Double Vanities', 'Tub/Shower', 'Fireplace', 'Sprinkler System', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Gas Range', 'Tile Floors', 'Vinyl Flooring', 'High Ceilings', 'Walk-In Closets', 'Loft Layout', 'Window Coverings', 'Large Bedrooms', 'Balcony']",Grantville,https://www.apartments.com/grantville-san-diego-ca/,55ets1q,VORA LUX,https://www.apartments.com/vora-lux-san-diego-ca/55ets1q/,0,verified,0
13385 Highlands Pl,"['100% Smoke-Free Community', 'Large Closets', 'Lush Green Walls', 'Tiled Backsplashes & Under-Cabinet Lighting', 'Bike Storage and Repair Shop', 'GE Full Size Washer & Dryer', 'Pet-friendly with Dog Spa and Outdoor Dog Park', 'Personal Onsite Storage', 'Private Yoga & Spin Studio with Fitness On-Demand', 'Custom Cabanas with TVs & Fire Pits', 'Energy-Efficient Windows & Nest Thermostats', 'Parcel Locker System', 'Wood-Style Plank Flooring', 'Patio/Balcony', 'Playground Adjacent to Expansive Green Area', 'USB Charging Stations & HDMI Ports', 'Clubhouse', 'Fitness Center', 'Spa', 'Pool', 'Playground', 'Bicycle Storage', 'Gameroom', 'Washer/Dryer', 'Stainless Steel Appliances', 'Balcony', 'Patio']",Carmel Valley,https://www.apartments.com/carmel-valley-san-diego-ca/,n0xnw2m,Sola,https://www.apartments.com/sola-san-diego-ca/n0xnw2m/,4.8,verified,0
1471 8th Ave,"['Laminate Wood Flooring in Living Areas, Kitchen an', 'Stainless steel appliances', 'BBQ`s', 'Dual Master Bedrooms', 'Track Lighting in Dining Area', 'Washer / Dryer', 'Amazon Lockers', 'In-Suite Washer and Dryer', 'Courtyard', 'Fauxwood Blinds', 'Luxury Plank Flooring', 'New vinyl plank flooring throughout', 'Porcelain Tile Floors', 'Raised Panel Cabinetry', 'Wired for High Speed Internet', 'Bike Storage', 'Dogs and Cats Welcome Upon Management Approval', 'Pool And Heated Spa', 'Private Entrance Available', 'Stainless Steel', 'Garage Parking', 'Large Closet', 'Premium Granite Countertops', 'Fitness Center', 'Spa', 'Pool', 'Bicycle Storage', 'Sundeck', 'Courtyard', 'High Speed Internet Access', 'Washer/Dryer', 'Disposal', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Tile Floors', 'Dining Room', 'Patio']",Cortez,https://www.apartments.com/cortez-san-diego-ca/,ksfnv39,Gema,https://www.apartments.com/gema-san-diego-ca/ksfnv39/,4.8,verified,0
453 13th St,"['High-Speed Internet Available', 'In-Home Cox Quick Connect WiFi', 'Balcony', 'Kitchen Island', 'Walk to Central Train Station', 'On-site Maintenance', 'The Core: Fitness Center', 'Windows Floor to Ceiling', 'Air Conditioning', 'View Courtyard', 'Conference Room', 'Storage', 'Business Center with Wi-Fi', 'Controlled Building Access', 'Location Corner Unit', 'The reCharge: Clubroom', 'Closet Walk-in', 'Garage Parking Available', 'View Park', 'Washer/Dryer in Every Home', '24-Hour Emergency Maintenance', 'The Centre: Interior Courtyards with Fountains', 'View City', 'Laundry Facilities', 'Maintenance on site', 'Elevator', 'Business Center', 'Clubhouse', 'Conference Rooms', 'Fitness Center', 'Courtyard', 'Picnic Area', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Storage Space', 'Fireplace', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Kitchen', 'Microwave', 'Balcony']",East Village,https://www.apartments.com/east-village-san-diego-ca/,peg5vbv,Entrada,https://www.apartments.com/entrada-san-diego-ca/peg5vbv/,4.9,verified,0
2426 4th Ave,"['Designer Wood-Plank-Style Flooring', 'Energy Efficient Electric Samsung Appliances', 'Private Balconies In Select Units', 'Side-by-Side Stainless Steel Refrigerator with Ice Maker', 'A Rooftop Lounge with an Outdoor Kitchen, 4-Burner Grill and a Fire Pit', 'Ceiling Fans', 'Online Rent Payment and Maintenance Requests', 'The Hub Package and Delivery Lockers From Amazon', 'Close to the Middletown Trolley Station; The Interstate 5 Freeway; Metropolitan Transit District Bus', 'Oversized Stainless Steel Kitchen Sink with Disposal', 'Secure Keypad Entry System with Personalized Codes', 'Studio, One Bedroom, Two Bedroom and Loft Style Units Available', 'Wood Grain Laminate Designer Cabinetry', 'Bike Storage', 'Individual Storage Units', 'Quartz Countertops', 'Air Conditioning and Heating', 'In the Bankers Hill Neighborhood', 'Secure, Underground Parking with Video Surveillance', 'Washer and Dryer', 'Cox Fiber High Speed Internet', 'Video Patrol', 'Bicycle Storage', 'Grill']",Bankers Hill,https://www.apartments.com/bankers-hill-san-diego-ca/,3jn0b4f,FOURTH AND LAUREL,https://www.apartments.com/fourth-and-laurel-san-diego-ca/3jn0b4f/,0,verified,0
10878 Poblado Rd,"['1, 2 , & 3 Bedroom Apartments For Rent', 'Award Winning Landscape', 'Panoramic Mountain Views', 'Convenient Location', 'Beautiful Canyon Views', 'Complete Fitness Center', 'Resort-Style Sundecks', 'Schools and Shopping Nearby', 'Easy Freeway Access', 'Poway School District', 'Incredible Clubhouse', 'Shimmering Pool', 'Maintenance on site', 'Property Manager on Site', 'Public Transportation', 'Clubhouse', 'Storage Space', 'Fitness Center', 'Sauna', 'Spa', 'Pool', 'Playground', 'Sundeck', 'Courtyard', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Fireplace', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Range', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Den', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Window Coverings', 'Balcony']",Rancho Bernardo,https://www.apartments.com/rancho-bernardo-san-diego-ca/,517s4bp,La Terraza Apartments,https://www.apartments.com/la-terraza-apartments-san-diego-ca/517s4bp/,4.9,verified,0
9085 Judicial Dr,"['ADA Accessible & Affordable Housing Program', 'State of the Art Theatre', 'Fireplaces & Cathedral Ceilings', 'Sport Court', 'Day Spa and Tanning Beds', 'Pilates Room & Racquetball', 'Equal Housing Opportunity', 'Full Size Washers and Dryers', 'Resident Events And Scheduled Activities', 'Play Areas', 'Subterranean Parking', 'Fitness Center with Showers & Lockers', '1,2 & 3 Bedroom Apartments For Rent', 'Gaming Stations', 'Picnic Area', 'Private Clubhouse', 'Spacious Pools, Hot Tubs & Sauna', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Concierge', 'On-Site Retail', 'Recycling', 'Renters Insurance Program', 'Dry Cleaning Service', 'Online Services', 'Planned Social Activities', 'Pet Care', 'EV Charging', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Disposal Chutes', 'Conference Rooms', 'Tanning Salon', 'Fitness Center', 'Sauna', 'Spa', 'Pool', 'Playground', 'Bicycle Storage', 'Basketball Court', 'Racquetball Court', 'Gameroom', 'Media Center/Movie Theatre', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Picnic Area', 'Individual Locking Bedrooms', 'Private Bathroom', 'Study Lounge', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Satellite TV', 'Storage Space', 'Tub/Shower', 'Fireplace', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Office', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Loft Layout', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio']",University City,https://www.apartments.com/university-city-san-diego-ca/,hjm4h71,La Jolla Crossroads Apartments,https://www.apartments.com/la-jolla-crossroads-apartments-san-diego-ca/hjm4h71/,5.0,verified,0
