Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,0,4018,ST-P,d0mqjxh,579
1,0,4091,ST-H,d0mqjxh,619
1,0,4112,ST-H,d0mqjxh,619
1,0,4302,ST-F,d0mqjxh,706
1,0,4691,ST-F,d0mqjxh,706
1,0,4139,ST-F,d0mqjxh,706
1,0,4199,ST-F1,d0mqjxh,757
1,0,3868,ST-B,d0mqjxh,652
1,1,4913,1-S,d0mqjxh,723
1,1,5019,1-N,d0mqjxh,858
1,1,5130,1-N,d0mqjxh,858
1,1,4170,1-M,d0mqjxh,908
2,2,7071,2-Q,d0mqjxh,"1,180"
2,2,7432,2-Q,d0mqjxh,"1,180"
2,2,7604,2-Q,d0mqjxh,"1,180"
2,2,7756,2-Q,d0mqjxh,"1,180"
2,2,6702,2-R,d0mqjxh,"1,178"
2,2,5936,2-R,d0mqjxh,"1,178"
2,2,,2-R,d0mqjxh,"1,178"
1,1,2690,Plan B,4pt04hj,654
1,1,2815,Plan B,4pt04hj,654
1,1,2880,Plan B,4pt04hj,654
1,1,2755,Plan B,4pt04hj,654
1,1,2780,Plan D,4pt04hj,719
1,1,2795,Plan D,4pt04hj,719
1,1,2805,Plan D,4pt04hj,719
1,1,2815,Plan D,4pt04hj,719
1,1,2825,Plan D,4pt04hj,719
1,1,2835,Plan D,4pt04hj,719
1,1,2900,Plan D,4pt04hj,719
1,1,2945,Plan D,4pt04hj,719
1,1,2990,Plan D,4pt04hj,719
1,1,2680,Plan D,4pt04hj,719
1,1,2790,Plan A,4pt04hj,620
1,1,2825,Plan C,4pt04hj,692
1,1,2870,Plan C,4pt04hj,692
1,1,2915,Plan C,4pt04hj,692
1,1,2700,Plan C,4pt04hj,692
1,1,2875,Plan E,4pt04hj,747
1,1,2785,Plan E,4pt04hj,747
1,1,3290,Vista - Plan 2,4pt04hj,899
1,1,3100,Vista - Plan 2,4pt04hj,899
2,2,3420,Plan K,4pt04hj,"1,002"
2,2,3480,Plan K,4pt04hj,"1,002"
2,2,3455,Plan K,4pt04hj,"1,002"
2,2,3355,Plan K,4pt04hj,"1,002"
2,2,3430,Plan L,4pt04hj,"1,022"
2,2,3440,Plan L,4pt04hj,"1,022"
2,2,3425,Plan L,4pt04hj,"1,022"
2,2,3415,Plan L,4pt04hj,"1,022"
2.5,2,3445,Plan M,4pt04hj,"1,037"
2.5,2,3620,Plan M,4pt04hj,"1,037"
2.5,2,3630,Plan M,4pt04hj,"1,037"
2.5,2,3580,Plan M,4pt04hj,"1,037"
2.5,2,3700,Plan M,4pt04hj,"1,037"
2.5,2,3645,Plan M,4pt04hj,"1,037"
2,2,3455,Plan N,4pt04hj,"1,038"
2,2,3415,Plan N,4pt04hj,"1,038"
2,2,3490,Plan N,4pt04hj,"1,038"
2,2,3645,Plan N,4pt04hj,"1,038"
2,2,3465,Plan N,4pt04hj,"1,038"
2,2,3745,Plan T,4pt04hj,"1,168"
2,2,3750,Plan T,4pt04hj,"1,168"
2,2,3830,Plan T,4pt04hj,"1,168"
2,2,3800,Plan T,4pt04hj,"1,168"
2.5,2,3765,Plan R,4pt04hj,"1,136"
2.5,2,3780,Plan R,4pt04hj,"1,136"
2.5,2,3875,Plan R,4pt04hj,"1,136"
2,2,3830,Plan U,4pt04hj,"1,170"
2,2,3870,Plan U,4pt04hj,"1,170"
2.5,2,3480,Plan S,4pt04hj,"1,152"
2.5,2,3650,Plan S,4pt04hj,"1,152"
2,2,3270,Plan I,4pt04hj,946
2,3,4760,Plan V,4pt04hj,"1,350"
2,3,4585,Plan V,4pt04hj,"1,350"
1,1,2750,SPIRE 1A,9r6e3y6,729
1,1,2730,SPIRE 1A,9r6e3y6,591
1,1,2700,SPIRE 1A,9r6e3y6,729
1,1,2535,SPIRE 1B,9r6e3y6,605
1,1,2525,SPIRE 1B,9r6e3y6,600
1,1,2630,SPIRE 1D,9r6e3y6,668
1,1,2770,SPIRE 1D,9r6e3y6,668
1,1,2790,SPIRE 1D,9r6e3y6,668
1,1,2490,PINNACLE ON THE PARK 1A,9r6e3y6,593
2,2,3340,PINNACLE ON THE PARK 2A,9r6e3y6,883
2,2,3380,PINNACLE ON THE PARK 2A,9r6e3y6,883
2,2,3540,PINNACLE ON THE PARK 2A,9r6e3y6,883
2,2,3915,PINNACLE ON THE PARK 2J,9r6e3y6,"1,031"
2,2,3945,PINNACLE ON THE PARK 2J,9r6e3y6,"1,031"
2,2,3380,SPIRE 2C,9r6e3y6,958
2,2,3440,SPIRE 2C,9r6e3y6,958
2,2,3480,SPIRE 2C,9r6e3y6,958
2,2,3430,SPIRE 2D,9r6e3y6,956
