Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
1066 Market St,"['On-Site Management', 'Bicycle Room', 'EV Charging Stations', 'On-Site Security', 'Dedicated On-Site Parking', 'Indoor & Outdoor Resident Lounge', 'Lobby Lounge', 'Now Leasing, By Appointment Only', 'BBQ', 'Pet Friendly', 'The Oasis', 'Dog Jog', 'On-Site Composting', 'Gourmet Kitchen', 'Pets Welcome - Call For Details', 'Resident Wi-Fi & Social Lounge', 'Solarium', 'Upper Terrace', 'Brand New Luxury Living!', 'High-Speed Internet & Cable Ready', 'Package Lockers', 'Valet Living', 'Package Service', 'Maintenance on site', 'Property Manager on Site', 'Online Services', 'Composting', 'Planned Social Activities', 'Pet Play Area', 'Public Transportation', 'Elevator', 'Lounge', 'Multi Use Room', 'Corporate Suites', 'Fitness Center', 'Bicycle Storage', 'Roof Terrace', 'Sundeck', 'Courtyard', 'Grill', 'Individual Locking Bedrooms', 'Private Bathroom', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Cable Ready', 'Tub/Shower', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Vinyl Flooring', 'Dining Room', 'Views', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,79rtqtx,50 Jones,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,4.8,verified,0
515 John Muir Dr,"['Package Service', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', '24 Hour Access', 'Recycling', 'Dry Cleaning Service', 'Online Services', 'Composting', 'Planned Social Activities', 'Public Transportation', 'Elevator', 'Clubhouse', 'Lounge', 'Breakfast/Coffee Concierge', 'Storage Space', 'Disposal Chutes', 'Fitness Center', 'Sauna', 'Spa', 'Pool', 'Playground', 'Bicycle Storage', 'Basketball Court', 'Racquetball Court', 'Tennis Court', 'Walking/Biking Trails', 'Golf Course', 'Gated', 'Sundeck', 'Courtyard', 'Grill', 'Picnic Area', 'Waterfront', 'Lake Access', 'Heating', 'Cable Ready', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Range', 'Refrigerator', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Views', 'Walk-In Closets', 'Linen Closet', 'Window Coverings', 'Large Bedrooms', 'Balcony']",Stonestown,https://www.apartments.com/stonestown-san-francisco-ca/,wzzsn3h,Lakewood Apartments at Lake Merced,https://www.apartments.com/lakewood-apartments-at-lake-merced-san-francisco-ca/wzzsn3h/,4.7,verified,0
355 Berry St,"['Granite countertops', 'Bi-Weekly Payment Program', 'Honey maple on black finish package', 'Large patio/balcony', 'Lifestyle services powered by Amenify', 'Three courtyards with gaming, jacuzzi, and lounge', 'Amber oak wood plank flooring', 'Resident app', 'Stainless steel appliances', 'Tile backsplash', 'Vaulted ceilings', 'Cherry wood plank flooring', 'Corner location', 'Walk-in closet', 'Washer and dryer', 'Courtyard view', 'Honey maple on grey finish package', 'Smart home package', 'USB outlet', 'Airbnb-friendly', 'Channel view', 'Deposit free with Rhino', 'Park view', 'Build credit score with RentTrack', 'Ceiling fan', 'City view', 'Pet Friendly', 'Quartz countertops', 'Resident lounge', 'Balcony', 'Black appliances', 'Closet built-ins', 'Home Purchase Plan', 'Moving services with Move Matcher', 'Pantry', 'Package Service', 'Maintenance on site', 'Furnished Units Available', 'Elevator', 'Lounge', 'Storage Space', 'Conference Rooms', 'Fitness Center', 'Gated', 'Courtyard', 'High Speed Internet Access', 'Washer/Dryer', 'Smoke Free', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Quartz Countertops', 'Walk-In Closets', 'Furnished', 'Patio']",Mission Bay,https://www.apartments.com/mission-bay-san-francisco-ca/,1ybjl44,Edgewater,https://www.apartments.com/edgewater-san-francisco-ca/1ybjl44/,4.8,verified,0
1028 Market St,"['Kitchen Caesarstone Countertops', 'Peloton Bikes', 'Oversized or Floor-to-Ceiling Windows', 'Valet Dry Cleaning', 'Dog Park', 'Grey Oak Hardwood-Style Flooring', 'Balconies or Terraces in Select Homes', 'Gruppo Frati Italian Floating Vanity', 'roof top grill', 'Bathroom Quartz Countertops', 'Controlled Access', 'Outdoor Fireplace', 'Parcel Lockers with Cold Storage', 'Package Service', 'Community-Wide WiFi', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Video Patrol', '24 Hour Access', 'Hearing Impaired Accessible', 'Vision Impaired Accessible', 'Recycling', 'Renters Insurance Program', 'Dry Cleaning Service', 'Maid Service', 'Grocery Service', 'Online Services', 'Planned Social Activities', 'Pet Care', 'Pet Play Area', 'Pet Washing Station', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Bicycle Storage', 'Roof Terrace', 'Sundeck', 'Courtyard', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Security System', 'Storage Space', 'Tub/Shower', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Bay Window', 'Views', 'Walk-In Closets', 'Large Bedrooms', 'Balcony', 'Patio']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,f6w4p9t,Prism,https://www.apartments.com/prism-san-francisco-ca/f6w4p9t/,4.9,verified,0
30 Otis St,"['Custom closets', 'Disposal', 'Night Patrol', 'Pet care and grooming station', 'SMEG Gas Ranges', 'Bike Storage & Repair', 'Gas Range', 'Hardwood Floors', 'Outdoor Ninja Warrior course', 'Package Concierge', 'Refrigerator', 'Backyard terrace – seating, pizza oven', 'Fire pit', 'Patio/Balcony', '24/7 Valet parking', 'Air Conditioner', 'EV & scooter charging stations', 'Matte black hardware and fixtures**', 'Media Room', 'Wheelchair Access', 'Attended Arrival Desk', 'BBQ/Picnic Area', 'Integrated Panelized Appliances', 'Work (co-working space)', 'Adjacent Chorus Hall performing arts venue', 'Bike Racks', 'Courtyard', 'Dishwasher', 'Extra Storage', 'Penthouse Solarium & Terrace', 'Quartz countertops with stone backsplash', 'reception - Lobby Cocktail Bar', 'Walk-in glass showers*', 'Bathtub', 'EcoBee Smart Thermostat', 'Efficient Appliances', 'Mecho roller shades', 'Recreation Room', 'Recycling', 'Skybox lounge', 'Cable Ready', 'Floor-to-ceiling windows*', 'Keyless entry', 'Private balconies or terraces*', 'Rooftop Dog Park', 'Washer/Dryer', 'Wide-plank hardwood flooring', 'Package Service', 'Community-Wide WiFi', 'Wi-Fi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', 'Video Patrol', '24 Hour Access', 'On-Site Retail', 'Hearing Impaired Accessible', 'Vision Impaired Accessible', 'Recycling', 'Renters Insurance Program', 'Dry Cleaning Service', 'Laundry Service', 'Grocery Service', 'Online Services', 'Meal Service', 'Planned Social Activities', 'Pet Care', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Car Wash Area', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Hot Tub', 'Spa', 'Pool', 'Bicycle Storage', 'Gameroom', 'Media Center/Movie Theatre', 'Gated', 'Roof Terrace', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Picnic Area', 'Dog Park', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Security System', 'Storage Space', 'Double Vanities', 'Tub/Shower', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Gas Range', 'Hardwood Floors', 'High Ceilings', 'Recreation Room', 'Views', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Floor to Ceiling Windows', 'Balcony', 'Patio']",Mission Dolores,https://www.apartments.com/mission-dolores-san-francisco-ca/,8tkqj73,Chorus,https://www.apartments.com/chorus-san-francisco-ca/8tkqj73/,0,verified,0
955-975 Bryant St,"['Back-lit LED mirrors', 'Clubroom with TVs, full kitchen, and fireplace', 'Designer vinyl plank flooring', 'French door counter depth refrigerators', 'USB outlets', 'Landscaped courtyards with seating areas', 'Retail', 'Full size front load washers and dryers', 'WiFi-enabled smart thermostats', 'Athletic club with cardio and strength equipment', 'Contemporary custom kitchen cabinetry', 'Walk-in closets*', 'Walk-in showers*', '24/7 package services via Hub by Amazon', 'Bike storage', 'Floor to ceiling tiling in bathrooms', 'Pet spa', 'Private patios*', 'WiFi throughout property', 'Package Service', 'Spa', 'Bicycle Storage', 'Wi-Fi', 'Fireplace', 'Kitchen', 'Walk-In Closets']",Mission Bay,https://www.apartments.com/mission-bay-san-francisco-ca/,2bevhs9,Astella,https://www.apartments.com/astella-san-francisco-ca/2bevhs9/,0,verified,0
1177 Market St,"['Fob Accessible Front Door', 'Front Desk Attendant', 'Top-Floor Veranda', 'Five Sky Terraces', 'Stainless Steel Appliances', 'Four Controlled Access Elevators', 'Granite Countertops', 'Soft Close Cabinetry', 'Bike Storage', 'Conference Center', 'Dishwasher', 'Microwave', 'Onsite Laundry - Card Operated', 'View', 'Large Closets', 'Library', 'Smokefree Building', 'Cable Ready', 'Market Courtyard', 'Trash and Recycling Chutes Per Floor', 'Wheelchair Access', 'Window Coverings', '*Electronic Thermostat', 'Boutique Resident Lounge', 'Disposal', 'Tech Lounge', 'Washer/Dryer in Home', 'High Ceilings', 'Luxury Vinyl Floors', 'Refrigerator', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Recycling', 'Business Center', 'Clubhouse', 'Lounge', 'Fitness Center', 'Bicycle Storage', 'Gated', 'Courtyard', 'Washer/Dryer', 'Cable Ready', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Microwave', 'Refrigerator', 'Window Coverings']",SoMa,https://www.apartments.com/soma-san-francisco-ca/,cjkjj6g,1177 Market at Trinity Place,https://www.apartments.com/1177-market-at-trinity-place-san-francisco-ca/cjkjj6g/,4.8,verified,0
1301 16th St,"['Private Conference/ Dining room', 'Floor-to-ceiling windows with sweeping views•', 'Front-load washer and dryer•', 'Hard surface flooring throughout•', 'Laundry Lockers', 'Courtyard', 'Dishwasher', 'Disposal', 'Ground-level neighborhood entry', 'Night Patrol', 'Large Closets', 'Microwave', 'BBQ/Picnic Area', 'Dog Wash', 'Five burner gas cooktops and convection ovens•', 'Pet Friendly Community', 'Keyless smartphone entry', 'Private lounge/ co-working space', 'Washer/Dryer', '360 Degree Views of the City', 'Air Conditioner', 'Cable Ready', 'Fitness center with Peloton bike•', 'Private balconies in select units•', 'Quartz countertops, backsplashes and islands•', 'Package Service', 'Maintenance on site', 'Property Manager on Site', '24 Hour Access', 'Elevator', 'Clubhouse', 'Lounge', 'Fitness Center', 'Gated', 'Sundeck', 'Courtyard', 'Picnic Area', 'Washer/Dryer', 'Air Conditioning', 'Cable Ready', 'Dishwasher', 'Disposal', 'Microwave', 'Dining Room']",Potrero,https://www.apartments.com/potrero-san-francisco-ca/,k15xrnb,Alta Potrero,https://www.apartments.com/alta-potrero-san-francisco-ca/k15xrnb/,4.8,verified,0
150 Van Ness Ave,"['Multiple Grilling Stations & Outdoor Dining Areas', 'Bike Kitchen Workshop', 'Gas Stoves', 'Golf Simulator', 'Multiple Grilling Stations & Dining', 'Yoga Studio W/ Virtual Trainer', 'Double Wide Living/Dining Zones', 'Floor-To-Ceiling Windows', 'Hotel Designer Lobby', 'Meeting Rooms', 'Movie Theater', 'Rooftop Pizza Oven', 'Designer Fixures', 'Hotel Rooms for your Out-of-Town Guests', 'In-Unit Washer/Dryers', 'Outdoor Screening Room', 'Pet Spa', 'Rooftop Bocce Ball', 'Hotel Rooms For Out Of Town Guest', 'Library', 'Car Sharing', 'European-Style Soft-Close Cabinetry', 'Expansive Fitness Facilities', 'Sun Bathing Lawn', 'Award Winning Restaurant', 'Balconies', 'Bike Kitchen', 'Yoga Studio', 'Grand Designer Lounges', 'Pet Friendly', 'Quartz Slab Waterfall Countertops', 'Refrigerated Grocery Delivery', 'Wine Storage', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', '24 Hour Access', 'Recycling', 'Dry Cleaning Service', 'Laundry Service', 'Online Services', 'Composting', 'Planned Social Activities', 'Guest Apartment', 'Pet Washing Station', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Corporate Suites', 'Fitness Center', 'Spa', 'Pool', 'Bicycle Storage', 'Putting Greens', 'Gameroom', 'Media Center/Movie Theatre', 'Sundeck', 'Courtyard', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Cable Ready', 'Double Vanities', 'Tub/Shower', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Dining Room', 'Den', 'Workshop', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Balcony', 'Deck', 'Yard', 'Lawn', 'Garden']",Civic Center,https://www.apartments.com/civic-center-san-francisco-ca/,8pdvlx3,150 Van Ness,https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,4.8,verified,0
1333 Gough St,"['Disposal', 'Onsite Maintenance Staff', 'Dishwasher', 'Onsite Laundry Facility', 'Package Service', 'Pet Friendly Building*', 'Covered Gated Parking Available', 'Linen Closets', 'Modern Fixtures', 'Oven', 'Walkers Paradise', 'Cooktop', 'Stunning Views', 'Upgraded Bathrooms', '24 Hour Doorman', 'Balconies', 'Secured Controlled Entry', 'Stainless Steel Appliances', 'Generous Closet Space', 'Hardwood Floors', 'Spacious Floor Plans', 'Onsite Fitness Center**', 'Refrigerator/Freezer', 'Separate Dining Areas & Dens', 'Package Service', 'Laundry Facilities', 'Maintenance on site', 'Doorman', 'Fitness Center', 'Gated', 'High Speed Internet Access', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Kitchen', 'Oven', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Dining Room', 'Family Room', 'Linen Closet']",Lower Pacific Heights,https://www.apartments.com/lower-pacific-heights-san-francisco-ca/,y2dhz1s,1333 Gough Apartments at Cathedral Hill,https://www.apartments.com/1333-gough-apartments-at-cathedral-hill-san-francisco-ca/y2dhz1s/,4.1,verified,0
