Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,0,2094,The Polk,79rtqtx,491
1,0,1739,The Turk,79rtqtx,420
1,1,2715,The Redwood,79rtqtx,515
1,1,2605,The Redwood,79rtqtx,515
1,1,2748,The Elm,79rtqtx,524
1,1,2648,The Elm,79rtqtx,524
1,1,2652,The Myrtle,79rtqtx,526
1,1,3064,The Post,79rtqtx,676
1,1,2670,The Larkin,79rtqtx,526
1,1,2620,The Larkin,79rtqtx,526
1,1,2905,The Hyde,79rtqtx,556
2,2,3173,The Van Ness,79rtqtx,753
2,2,3448,The Van Ness,79rtqtx,753
2,2,3451,The Leavenworth,79rtqtx,817
2,2,3461,The Leavenworth,79rtqtx,817
2,2,3361,The Leavenworth,79rtqtx,817
2,2,3472,The Mason,79rtqtx,880
2,2,3855,The O`Farrell,79rtqtx,"1,013"
2,2,3563,The Grant,79rtqtx,883
2,2,3392,The Cyril Magnin,79rtqtx,848
2,2,3287,The Shannon,79rtqtx,781
1,0,2607,Yerba Buena E1B,1ybjl44,520
1,0,2977,Yerba Buena E1B,1ybjl44,600
1,0,2747,Yerba Buena E1A,1ybjl44,545
1.5,1,3452,Dolores A1.5A Loft,1ybjl44,710
1.5,1,3447,Dolores A1.5A Loft,1ybjl44,750
1.5,1,3387,Dolores A1.5A Loft,1ybjl44,710
1.5,1,3632,Dolores A1.5F Loft,1ybjl44,785
1.5,1,3420,Dolores A1.5C Loft,1ybjl44,785
1,1,3411,Alta Plaza A1C,1ybjl44,860
1,1,3428,Alta Plaza A1C,1ybjl44,860
1,1,2882,Rossi A1A,1ybjl44,535
1.5,1,3580,Duboce A1.5D Loft,1ybjl44,"1,050"
1,1,2783,Balboa A1B,1ybjl44,740
2,2,4240,Lafayette B2C,1ybjl44,"1,090"
1,0,1959,S10,f6w4p9t,422
1,0,2159,S10,f6w4p9t,422
1,0,1962,S2,f6w4p9t,400
1,0,2334,S2,f6w4p9t,400
1,0,2381,S2,f6w4p9t,400
1,0,2051,S6,f6w4p9t,373
1,0,2368,S6,f6w4p9t,373
1,0,2054,S7,f6w4p9t,376
1,0,2275,S7,f6w4p9t,376
1,0,2069,S3,f6w4p9t,464
1,0,2175,S3,f6w4p9t,464
1,0,2188,S3,f6w4p9t,464
1,0,2300,S3,f6w4p9t,464
1,0,2883,S3,f6w4p9t,464
1,0,2096,S4,f6w4p9t,453
1,0,2278,S4,f6w4p9t,453
1,0,2341,S4,f6w4p9t,453
1,1,2582,A3,f6w4p9t,639
1,1,2947,A3,f6w4p9t,639
1,1,3033,A3,f6w4p9t,639
1,1,3080,A3,f6w4p9t,639
1,1,2818,A4,f6w4p9t,721
1,1,3673,A4,f6w4p9t,721
1,1,2913,A1,f6w4p9t,678
1,2,2955,B4,f6w4p9t,712
2,2,3410,B7,f6w4p9t,"1,010"
2,2,3770,B2,f6w4p9t,980
2,2,4104,B1,f6w4p9t,"1,121"
2,2,4113,B1,f6w4p9t,"1,121"
2,3,6522,C1,f6w4p9t,"1,125"
1,0,4070,Studio E,8tkqj73,499
1,0,4111,Studio E,8tkqj73,499
1,0,4272,Studio C,8tkqj73,467
1,0,4807,Junior 1-B,8tkqj73,505
1,0,3333,Studio B,8tkqj73,449
1,1,3637,1-A,8tkqj73,453
1,1,5049,1-P,8tkqj73,596
1,1,5079,1-P,8tkqj73,596
1,1,3934,1-P,8tkqj73,596
1,1,5034,1-N,8tkqj73,583
1,1,5489,1-E,8tkqj73,555
1,1,5573,1-K,8tkqj73,563
1,1,7182,1-L,8tkqj73,573
1,1,4305,1-I,8tkqj73,563
1,1,3145,1-C,8tkqj73,498
1,1,5268,1-T,8tkqj73,683
1,1,3732,1-M,8tkqj73,580
1,1,4126,1-W,8tkqj73,692
2,2,6198,2-J,8tkqj73,937
2,2,6090,2-J,8tkqj73,937
2,2,7335,2-D,8tkqj73,880
2,2,7345,2-L,8tkqj73,"1,011"
1,2,5453,2-A,8tkqj73,792
2,2,7830,2-M,8tkqj73,"1,011"
1,0,6066,S3,2bevhs9,429
1,0,6873,S3,2bevhs9,429
1,1,7148,A6,2bevhs9,652
1.5,1,7628,TH2,2bevhs9,815
1,1,7119,A11,2bevhs9,720
1,1,6862,A9,2bevhs9,675
1,1,6315,A4,2bevhs9,597
1,1,5101,A7,2bevhs9,654
2,2,8536,B5,2bevhs9,902
2,2,8438,B5,2bevhs9,902
2,2,9063,B5,2bevhs9,902
2,2,9333,B9,2bevhs9,988
2,2,7525,B3,2bevhs9,877
2,3,11408,C1,2bevhs9,"1,050"
1,0,3679,S1.1,k15xrnb,450
1,0,3911,S1.1,k15xrnb,450
1,0,3802,S1.1,k15xrnb,450
1,0,3476,S1.1,k15xrnb,450
1,1,5369,A6,k15xrnb,608
1,1,5094,TH1,k15xrnb,748
1,1,4442,A3,k15xrnb,570
2,2,6415,B3.1,k15xrnb,"1,118"
2,2,5273,B5,k15xrnb,956
2,2,6113,B3.2,k15xrnb,"1,145"
1,1,3706,"1 Bed, 1 Bath B",cjkjj6g,557
1,1,3721,"1 Bed, 1 Bath B",cjkjj6g,566
1,1,3447,"1 Bed, 1 Bath C",cjkjj6g,423
1,1,2651,"1 Bed, 1 Bath C",cjkjj6g,433
1,2,3932,"2 Bed, 1 Bath C",cjkjj6g,638
1,2,3953,"2 Bed, 1 Bath C",cjkjj6g,627
1,2,3874,"2 Bed, 1 Bath C",cjkjj6g,647
1,2,4187,"2 Bed, 1 Bath C",cjkjj6g,726
1,2,4095,"2 Bed, 1 Bath C",cjkjj6g,627
1,2,4022,"2 Bed, 1 Bath C",cjkjj6g,677
1,2,4217,"2 Bed, 1 Bath C",cjkjj6g,656
1,2,3190,"2 Bed, 1 Bath C",cjkjj6g,647
1,2,4071,"2 Bed, 1 Bath A",cjkjj6g,816
1,2,4338,"2 Bed, 1 Bath A",cjkjj6g,786
2,2,6869,"2 Bed, 2 Bath w/ Den B",cjkjj6g,877
2,2,4574,"2 Bed, 2 Bath w/ Den A",cjkjj6g,"1,099"
1,0,3455,Studio A,8pdvlx3,454
1,0,2710,Studio A,8pdvlx3,454
1,1,3067,1 Bedroom E,8pdvlx3,615
1,1,3191,1 Bedroom E,8pdvlx3,615
1,1,3125,1 Bedroom D,8pdvlx3,610
1,1,3164,1 Bedroom D,8pdvlx3,610
1,1,3845,1 Bedroom with Den B,8pdvlx3,668
1,1,3408,1 Bedroom I,8pdvlx3,687
1,1,3388,1 Bedroom J,8pdvlx3,731
1,1,3589,1 Bedroom with Den A,8pdvlx3,617
1,2,3723,2 Bedroom 1 Bath B,8pdvlx3,686
1,2,3804,2 Bedroom 1 Bath B,8pdvlx3,686
2,2,4478,2 Bedroom 2 Bath A,8pdvlx3,977
2,2,4498,2 Bedroom 2 Bath A,8pdvlx3,977
2,2,4748,2 Bedroom 2 Bath G,8pdvlx3,"1,108"
2,2,4932,2 Bed 2 Bath with Den B,8pdvlx3,"1,028"
2,2,4461,2 Bedroom 2 Bath K,8pdvlx3,"1,047"
2,2,4496,2 Bedroom 2 Bath J,8pdvlx3,"1,095"
2,2,4581,2 Bedroom 2 Bath H,8pdvlx3,"1,049"
2,2,4556,2 Bedroom 2 Bath I,8pdvlx3,"1,061"
2,3,7985,3 Bedroom 2 Bath B,8pdvlx3,"1,142"
2,3,6032,3 Bedroom 2 Bath B,8pdvlx3,"1,142"
1,1,3500,K,y2dhz1s,881
1,1,3475,K,y2dhz1s,881
1,1,3575,E,y2dhz1s,813
1,1,3425,E,y2dhz1s,813
1,1,2950,G,y2dhz1s,703
1,1,3375,H,y2dhz1s,773
1,1,3400,H,y2dhz1s,773
2,2,4250,M,y2dhz1s,"1,186"
2,2,4800,D,y2dhz1s,"1,452"
2,2,4625,D,y2dhz1s,"1,452"
2,2,4725,D,y2dhz1s,"1,452"
1,0,2981,S1,hxj33g1,415
1,0,3156,S1,hxj33g1,415
1,1,3049,A1,hxj33g1,470
1,1,4001,A5,hxj33g1,633
1,1,3717,A2,hxj33g1,532
1,1,4942,A2,hxj33g1,584
1,1,3934,A7,hxj33g1,727
1,1,4083,A6,hxj33g1,645
1,1,4172,A6,hxj33g1,645
1,1,4787,A4,hxj33g1,586
2,2,4719,B3,hxj33g1,810
2,2,5204,B6,hxj33g1,"1,019"
2,3,6269,C1,hxj33g1,"1,232"
1,0,2148,Studio E1E,x4k2dsm,392
1,0,2078,Studio E1E,x4k2dsm,392
2,2,2900,Two Bedroom B2A,x4k2dsm,744
2,2,3853,Two Bedroom Den B2AD,x4k2dsm,"1,017"
2,2,3125,Two Bedroom B2C,x4k2dsm,806
2,2,3190,Two Bedroom B2E,x4k2dsm,848
1,1,7734,B40,d50gz4k,624
1,1,7828,B1,d50gz4k,525
1,1,8297,B15,d50gz4k,558
1,1,8389,B15,d50gz4k,558
1,1,8574,B15,d50gz4k,558
1,1,8544,B28,d50gz4k,598
1,1,8559,B3,d50gz4k,529
1,1,9556,B66,d50gz4k,722
1,1,10354,B73,d50gz4k,853
2,2,5836,C36,d50gz4k,953
2,2,5897,C36,d50gz4k,953
2,2,6406,C36,d50gz4k,953
2,2,6456,C36,d50gz4k,953
2,2,6506,C36,d50gz4k,953
2,2,6086,C37,d50gz4k,954
2,2,6201,C37,d50gz4k,954
2,2,6203,C13,d50gz4k,852
2,2,6243,C17,d50gz4k,869
2,2,6353,C18,d50gz4k,880
2,2,6394,C7,d50gz4k,832
2,2,6488,C12,d50gz4k,850
2,2,6538,C24,d50gz4k,892
2,2,6578,C25,d50gz4k,894
2,2,6598,C28,d50gz4k,903
2,2,6835,C34,d50gz4k,933
2,2,6875,C47,d50gz4k,979
2,2,6908,C26,d50gz4k,899
2,2,6934,C63,d50gz4k,"1,083"
2,2,6970,C44,d50gz4k,975
2,2,7939,C58,d50gz4k,"1,038"
2,2,8984,C69,d50gz4k,"1,266"
2,2,9064,C69,d50gz4k,"1,266"
1,2,8994,C43,d50gz4k,973
2,2,6308,C27,d50gz4k,902
2,2,6318,C32,d50gz4k,927
2,2,6483,C40,d50gz4k,957
2,2,5983,C57,d50gz4k,"1,031"
2,2,6710,C39,d50gz4k,956
2,2,6384,C48,d50gz4k,981
2,3,8594,D4,d50gz4k,"1,262"
0.5,0,1250,Cozy Private Room,tt0xekb,87
0.5,0,1450,Spacious Private Room,tt0xekb,130
0.5,0,1450,Spacious Private Room,tt0xekb,117
1,0,1650,Private Room with En Suite Bath,tt0xekb,118
1,0,1750,Garden Private Room,tt0xekb,300
1,1,2645,"Jr. 1 Bed, 1 Bath",yz77zfv,487
1,1,2650,"Jr. 1 Bed, 1 Bath",yz77zfv,487
1,1,2693,"Jr. 1 Bed, 1 Bath",yz77zfv,487
1,1,2701,"Jr. 1 Bed, 1 Bath",yz77zfv,476
1,1,2761,"Jr. 1 Bed, 1 Bath",yz77zfv,478
1,1,2749,"Jr. 1 Bed, 1 Bath",yz77zfv,482
1,1,2066,"Jr. 1 Bed, 1 Bath",yz77zfv,487
1,1,1992,"Jr. 1 Bed, 1 Bath",yz77zfv,482
1,1,2614,"1 Bed, 1 Bath",yz77zfv,548
1,0,2951,Duboce,yv6dh0t,439
1,0,2841,Duboce,yv6dh0t,439
1,0,2531,Duboce,yv6dh0t,439
1,0,2764,Lafayette,yv6dh0t,463
1,1,4330,Fort Mason,yv6dh0t,732
1,1,3257,Fort Mason,yv6dh0t,723
1,1,4050,Fort Mason,yv6dh0t,732
1,1,4200,Fort Mason,yv6dh0t,732
1,1,3742,Bernal Heights,yv6dh0t,680
1,1,3287,Bernal Heights,yv6dh0t,680
1,1,3267,Bernal Heights,yv6dh0t,683
1,1,3718,Twin Peaks,yv6dh0t,641
1,1,3688,Twin Peaks,yv6dh0t,641
1,1,3868,Twin Peaks,yv6dh0t,641
1,1,3903,Washington Square,yv6dh0t,628
1,1,3918,Washington Square,yv6dh0t,628
1,1,3693,Washington Square,yv6dh0t,628
1,1,3763,South Park,yv6dh0t,694
1,1,3783,South Park,yv6dh0t,703
1,1,4038,South Park,yv6dh0t,703
1,1,3714,Civic Center,yv6dh0t,849
1,1,3561,Civic Center,yv6dh0t,845
2,2,4528,Alamo Square,yv6dh0t,996
2,2,4463,Alamo Square,yv6dh0t,996
2,2,4408,Alamo Square,yv6dh0t,996
2,2,4508,Golden Gate,yv6dh0t,994
2,2,4553,Golden Gate,yv6dh0t,994
2,2,4613,Golden Gate,yv6dh0t,994
2,2,4688,Golden Gate,yv6dh0t,994
2,2,5116,Dolores,yv6dh0t,"1,126"
2,2,5468,Presidio,yv6dh0t,"1,107"
2,2,5453,Union Square,yv6dh0t,"1,101"
1,0,2848,Studio,cs10w0d,469
1,0,2897,Studio,cs10w0d,494
1,0,2998,Studio,cs10w0d,469
1,0,3072,Studio,cs10w0d,512
1,0,3123,Studio,cs10w0d,512
1,0,2812,Studio,cs10w0d,500
1,0,3737,Studio,cs10w0d,684
1,0,2786,Studio,cs10w0d,512
1,0,2764,Studio,cs10w0d,512
1,0,3330,Studio,cs10w0d,684
1,0,3210,Studio,cs10w0d,494
1,0,2999,Studio,cs10w0d,512
1,0,3155,Studio,cs10w0d,512
1,0,3716,Studio,cs10w0d,691
1,1,4265,1 Bedroom,cs10w0d,729
1,1,4161,1 Bedroom,cs10w0d,759
1,1,4444,1 Bedroom,cs10w0d,684
1,1,4063,1 Bedroom,cs10w0d,768
1,1,3823,1 Bedroom,cs10w0d,759
1,1,3430,1 Bedroom,cs10w0d,686
1,1,4295,1 Bedroom,cs10w0d,693
1,1,4139,1 Bedroom,cs10w0d,693
