Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
1,1,2025,Camano,84egbw0,
2,2,2810,Bainbridge Loft,84egbw0,
1,2,2575,Fox,84egbw0,
1,2,2510,Fox,84egbw0,
1,1,2030,Rainier,7xrt90z,
1,2,2230,Broadway,7xrt90z,
1,2,2505,Jefferson,7xrt90z,
1,2,2630,Seneca,7xrt90z,
2,2,2795,Union,7xrt90z,
1,1,1756,BO2.ay,hwhflg0,
1,1,1824,BO2.ay,hwhflg0,
1,1,1876,BO2.ay,hwhflg0,
1,1,1804,BO3.ay,hwhflg0,
1,1,2027,BO3y,hwhflg0,
1,1,2058,BO3y,hwhflg0,
1,1,2084,BO3y,hwhflg0,
1,1,2162,BO3y,hwhflg0,
1,1,1793,BO17y,hwhflg0,
1,1,1972,BO17y,hwhflg0,
1,1,2003,BO17y,hwhflg0,
1,1,1845,BO2.by,hwhflg0,
1,1,1907,BO2.by,hwhflg0,
1,1,1923,BO2.by,hwhflg0,
1,1,1954,BO2.by,hwhflg0,
1,1,1965,BO2.by,hwhflg0,
1,1,1811,BO14y,hwhflg0,
1,1,1850,BO2y,hwhflg0,
1,1,1913,BO2y,hwhflg0,
1,1,1928,BO2y,hwhflg0,
1,1,1856,BO2y,hwhflg0,
1,1,1858,BO15y,hwhflg0,
1,1,1899,BO22y,hwhflg0,
1,1,1935,BO22y,hwhflg0,
1,1,1961,BO22y,hwhflg0,
1,1,2143,BO22y,hwhflg0,
1,1,2226,BO22y,hwhflg0,
1,1,1918,BO19y,hwhflg0,
1,1,,BO19y,hwhflg0,
1,1,2006,BO25,hwhflg0,
1,1,2058,BO25,hwhflg0,
1,1,2135,BO25,hwhflg0,
1,1,2210,BO25,hwhflg0,
1,1,2265,BO25,hwhflg0,
1,1,1933,BO15.ay,hwhflg0,
1,1,1941,BO17.ay,hwhflg0,
1,1,1964,BO1.b,hwhflg0,
1,1,1979,BO1.b,hwhflg0,
1,1,1995,BO1.b,hwhflg0,
1,1,2088,BO1.b,hwhflg0,
1,1,2119,BO1.b,hwhflg0,
1,1,1974,BO27,hwhflg0,
1,1,1995,BO27,hwhflg0,
1,1,2026,BO27,hwhflg0,
1,1,2093,BO27,hwhflg0,
1,1,2176,BO27,hwhflg0,
1,1,1979,BO1.b sm,hwhflg0,
1,1,1979,BO19.a,hwhflg0,
1,1,1995,BO19.a,hwhflg0,
1,1,2036,BO19,hwhflg0,
1,1,2078,BO19,hwhflg0,
1,1,2093,BO19,hwhflg0,
1,1,2135,BO19,hwhflg0,
1,1,1996,BO1.cy,hwhflg0,
